issue_id,day,severity,category,summary,detail,remediation_phase
ISSUE-MAP-02,2,P2,MAP_ROUTE,Day 02 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-03,3,P2,MAP_ROUTE,Day 03 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-08,8,P2,MAP_ROUTE,Day 08 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-09,9,P2,MAP_ROUTE,Day 09 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-10,10,P2,MAP_ROUTE,Day 10 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-11,11,P2,MAP_ROUTE,Day 11 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-13,13,P2,MAP_ROUTE,Day 13 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-14,14,P2,MAP_ROUTE,Day 14 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-15,15,P2,MAP_ROUTE,Day 15 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-20,20,P2,MAP_ROUTE,Day 20 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-22,22,P2,MAP_ROUTE,Day 22 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-23,23,P2,MAP_ROUTE,Day 23 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-24,24,P2,MAP_ROUTE,Day 24 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-25,25,P2,MAP_ROUTE,Day 25 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-26,26,P2,MAP_ROUTE,Day 26 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-27,27,P2,MAP_ROUTE,Day 27 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
ISSUE-MAP-28,28,P2,MAP_ROUTE,Day 28 has stop pins only (no precomputed route geometry),Route cache is None. Map displays ordered pins without walking/transit line overlay.,EX-10
