day,meal_slot,category,planned_venue,place_ref,selection_origin,meal_role,classification,backup_plan
Day 27,Lunch,TGV Travel Quick Meal,Part-Dieu / Halles Paul Bocuse 샌드위치,halles-de-lyon-paul-bocuse,RECOMMENDED,PRIMARY,E — MARKET / TAKEAWAY,Part-Dieu 역사 내 Paul 베이커리
Day 27,Dinner,Arrival Home Meal,15구 숙소 첫 장보기 & 정착 숙소식,carrefour-city-lourmel,RECOMMENDED,SELF_CATERING,D — HOME / SELF-CATERING,숙소 인근 피자 테이크아웃
Day 28,Lunch,Home Lunch,숙소 아침 루틴 후 간단 점심,boulangerie-pichard,RECOMMENDED,SELF_CATERING,D — HOME / SELF-CATERING,동네 카페 샐러드
Day 28,Dinner,15e Historic Brasserie,Café du Commerce (1921 아르데코 브라세리 만찬),cafe-du-commerce,RECOMMENDED,PRIMARY,A — SPECIFIC & VERIFIED,숙소 인근 비스트로
Day 29,Lunch,Sunday Market Feast,Marché Convention 로티세리 치킨 & 과일 숙소식,marche-convention,RECOMMENDED,MARKET,E — MARKET / TAKEAWAY,숙소 파스타 조리
Day 29,Dinner,Rest & Light Meal,생제르맹 산책 후 숙소 가벼운 저녁,marche-convention,RECOMMENDED,SELF_CATERING,D — HOME / SELF-CATERING,동네 크레페리
Day 30,Lunch,Home Lunch,오르세 미술관 관람 전 숙소 점심,boulangerie-pichard,RECOMMENDED,SELF_CATERING,D — HOME / SELF-CATERING,오르세 카페
Day 30,Dinner,Art Nouveau Bouillon,Bouillon Chartier Montparnasse (1903 역사기념물 부이용),bouillon-chartier-montparnasse,RECOMMENDED,PRIMARY,A — SPECIFIC & VERIFIED,몽파르나스 크레페 골목
Day 31,Lunch,Market Sandwich,Boulangerie Pichard 바게트 샌드위치,boulangerie-pichard,RECOMMENDED,PRIMARY,A — SPECIFIC & VERIFIED,숙소 샐러드
Day 31,Dinner,Home Meal,기메/자크마르 후 숙소 저녁 식사,carrefour-city-lourmel,RECOMMENDED,SELF_CATERING,D — HOME / SELF-CATERING,동네 비스트로
Day 32,Lunch,Home Lunch,BnF 도서관 외출 전 가벼운 점심,boulangerie-pichard,RECOMMENDED,SELF_CATERING,D — HOME / SELF-CATERING,도서관 인근 샌드위치
Day 32,Dinner,15e Brasserie Dinner,Café du Commerce 동네 저녁,cafe-du-commerce,RECOMMENDED,PRIMARY,A — SPECIFIC & VERIFIED,숙소 간단식
Day 33,Lunch,Fashion Week Quick Lunch,샹젤리제/몽테뉴 인근 카페 점심,grand-palais,RECOMMENDED,PRIMARY,B — AREA-BASED WITH STRONG OPTIONS,프티 팔레 가든 카페
Day 33,Dinner,Rest Dinner,숙소 복귀 후 가벼운 저녁,carrefour-city-lourmel,RECOMMENDED,SELF_CATERING,D — HOME / SELF-CATERING,숙소 인근 간단식
Day 34,Lunch,Versailles Day-trip Lunch,베르사유 대운하 인근 라 플로틸(La Flottille),versailles,RECOMMENDED,PRIMARY,B — AREA-BASED WITH STRONG OPTIONS,베르사유 정원 키오스크 샌드위치
Day 34,Dinner,15e Bistronomie Dinner,Le Grand Pan (브누아 고티에 숯불 스테이크),le-grand-pan,RECOMMENDED,PRIMARY,A — SPECIFIC & VERIFIED,Café du Commerce
Day 35,Lunch,Home Lunch,루브르 4시간 관람 전 든든한 숙소 점심,boulangerie-pichard,RECOMMENDED,SELF_CATERING,D — HOME / SELF-CATERING,루브르 지하 카페
Day 35,Dinner,Rest Dinner,루브르 관람 후 센 강변 산책 & 숙소 저녁,carrefour-city-lourmel,RECOMMENDED,SELF_CATERING,D — HOME / SELF-CATERING,15구 동네 비스트로
Day 36,Lunch,Home Lunch,마르모탕 모네 전 숙소 점심 & 휴식,marche-convention,RECOMMENDED,SELF_CATERING,D — HOME / SELF-CATERING,파시 지구 카페
Day 36,Dinner,Early Rest Dinner,익일 개선문상 경마 대비 조기 귀환 & 숙소 저녁,carrefour-city-lourmel,RECOMMENDED,SELF_CATERING,D — HOME / SELF-CATERING,동네 식당
Day 37,Lunch,Prix de l'Arc Event Lunch,파리롱샹 경마장 내 브라세리/푸드트럭,longchamp-prix-de-l-arc,RECOMMENDED,PRIMARY,B — AREA-BASED WITH STRONG OPTIONS,경기장 스낵
Day 37,Dinner,Post-Event Rest,15구 귀환 후 숙소식 & 휴식,carrefour-city-lourmel,RECOMMENDED,SELF_CATERING,D — HOME / SELF-CATERING,Café du Commerce
Day 38,Lunch,Recovery Brunch,느린 기상 & 브런치 빵 숙소식,boulangerie-pichard,RECOMMENDED,SELF_CATERING,D — HOME / SELF-CATERING,몽소 공원 인근 카페
Day 38,Dinner,Home Dinner,자크마르-앙드레 후 숙소 저녁,carrefour-city-lourmel,RECOMMENDED,SELF_CATERING,D — HOME / SELF-CATERING,동네 피자
Day 39,Lunch,Marais Lunch,마레 지구 피카소 미술관 인근 비스트로/팔라펠,le-marais,RECOMMENDED,PRIMARY,B — AREA-BASED WITH STRONG OPTIONS,보주 광장 카페
Day 39,Dinner,Neighborhood Dinner,15구 숙소 귀환 후 동네 식당,cafe-du-commerce,RECOMMENDED,PRIMARY,B — AREA-BASED WITH STRONG OPTIONS,숙소식
Day 40,Lunch,Montorgueil Market Street,Rue Montorgueil 보행자 미식거리 점심,montorgueil,RECOMMENDED,PRIMARY,A — SPECIFIC & VERIFIED,레 알 브라세리
Day 40,Dinner,Montmartre Early Dinner,몽마르트르 포도축제 산책 후 이른 저녁,montmartre-south-pigalle,RECOMMENDED,PRIMARY,B — AREA-BASED WITH STRONG OPTIONS,숙소식
Day 41,Lunch,Iéna Lunch,기메/MAM 미술관 인근 윌슨 대로변 카페,musee-guimet,RECOMMENDED,PRIMARY,B — AREA-BASED WITH STRONG OPTIONS,MAM 테라스 카페
Day 41,Dinner,Farewell Dinner,Le Grand Pan (2인용 숯불 코트 드 뵈프 만찬),le-grand-pan,RECOMMENDED,PRIMARY,A — SPECIFIC & VERIFIED,Café du Commerce
Day 42,Lunch,Farewell Lunch,Café du Commerce 15구 마지막 점심,cafe-du-commerce,RECOMMENDED,PRIMARY,A — SPECIFIC & VERIFIED,숙소 인근 샌드위치
Day 42,Dinner,Inflight Dinner,CDG 공항 출발편 OZ502 기내식,oz502-flight,RECOMMENDED,PRIMARY,B — AREA-BASED WITH STRONG OPTIONS,공항 라운지
