asset,place_slug,rights_status,current_usage,allowed_usage,action,blocking_issue
figuier-courtyard.jpg,le-figuier-de-saint-esprit,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
beatrice-terrace.jpg,restaurant-beatrice,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
villa-ephrussi-gardens.jpg,villa-ephrussi-de-rothschild,CLEAR-LICENSE,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
cours-saleya-market.jpg,cours-saleya,CLEAR-LICENSE,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
marche-liberation.jpg,marche-de-la-liberation,CLEAR-LICENSE,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
bodega-joan-interior.jpg,bodega-joan,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
la-paradeta-counter.jpg,la-paradeta-sagrada-familia,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
bar-canete-bar.jpg,bar-canete,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
mercat-concepcio-facade.jpg,mercat-concepcio,CLEAR-LICENSE,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
la-zorra-arros.jpg,la-zorra,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
casa-marieta-facade.jpg,casa-marieta,CLEAR-LICENSE,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
mercat-del-lleo.jpg,mercat-del-lleo,CLEAR-LICENSE,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
patisserie-weibel-terrace.jpg,patisserie-weibel,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
chez-gilbert-port.jpg,chez-gilbert-cassis,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
fou-de-fafa-interior.jpg,fou-de-fafa-avignon,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
les-cocottes-cloitre.jpg,les-cocottes-saint-louis,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
le-gibolin-facade.jpg,le-gibolin-arles,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
cafe-comptoir-abel-interior.jpg,cafe-comptoir-abel,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
daniel-et-denise-pate.jpg,daniel-et-denise,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
chez-mamie-lise-chalet.jpg,chez-mamie-lise,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
boulangerie-pichard-facade.jpg,boulangerie-pichard,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
marche-convention-stalls.jpg,marche-convention,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
cafe-du-commerce-atrium.jpg,cafe-du-commerce,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
le-grand-pan-grill.jpg,le-grand-pan,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
bouillon-chartier-montparnasse-hall.jpg,bouillon-chartier-montparnasse,PLATFORM-PERMITTED,Guidebook Dossier Hero / Presentation,Editorial / Informational Use Permitted,KEEP,NONE
