entity_type,entity_id,region,day,schedule_ref,guide_ref,place_ref,map_ref,search_ref,offline_ref,reverse_link,status,issue,action
MEAL_SLOT,SLOT-01,barcelona,Day 01,Day 01 DINNER,guides/barcelona.html#food,bcn-arrival-convenience,day-01.html#map,bcn-arrival-convenience,cached_day_01,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-02,barcelona,Day 02,Day 02 LUNCH,guides/barcelona.html#food,la-paradeta-sagrada-familia,day-02.html#map,la-paradeta-sagrada-familia,cached_day_02,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-03,barcelona,Day 02,Day 02 DINNER,guides/barcelona.html#food,bodega-joan,day-02.html#map,bodega-joan,cached_day_02,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-04,barcelona,Day 03,Day 03 LUNCH,guides/barcelona.html#food,bar-canete,day-03.html#map,bar-canete,cached_day_03,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-05,barcelona,Day 03,Day 03 DINNER,guides/barcelona.html#food,mercat-concepcio,day-03.html#map,mercat-concepcio,cached_day_03,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-06,barcelona,Day 04,Day 04 LUNCH,guides/barcelona.html#food,la-zorra,day-04.html#map,la-zorra,cached_day_04,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-07,girona,Day 05,Day 05 LUNCH,guides/girona.html#food,casa-marieta,day-05.html#map,casa-marieta,cached_day_05,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-08,girona,Day 05,Day 05 DINNER,guides/girona.html#food,bascara-farmhouse-kitchen,day-05.html#map,bascara-farmhouse-kitchen,cached_day_05,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-09,girona,Day 06,Day 06 LUNCH,guides/girona.html#food,sant-feliu-bistro,day-06.html#map,sant-feliu-bistro,cached_day_06,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-10,girona,Day 06,Day 06 DINNER,guides/girona.html#food,bascara-farmhouse-kitchen,day-06.html#map,bascara-farmhouse-kitchen,cached_day_06,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-11,girona,Day 07,Day 07 LUNCH,guides/girona.html#food,mercat-del-lleo,day-07.html#map,mercat-del-lleo,cached_day_07,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-12,nice,Day 07,Day 07 DINNER,guides/nice.html#food,nice-hotel-neighborhood,day-07.html#map,nice-hotel-neighborhood,cached_day_07,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-13,nice,Day 08,Day 08 LUNCH,guides/nice.html#food,vieux-nice-bistro,day-08.html#map,vieux-nice-bistro,cached_day_08,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-14,nice,Day 08,Day 08 DINNER,guides/nice.html#food,port-lympia-restaurant,day-08.html#map,port-lympia-restaurant,cached_day_08,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-15,nice,Day 09,Day 09 LUNCH,guides/nice.html#food,le-figuier-de-saint-esprit,day-09.html#map,le-figuier-de-saint-esprit,cached_day_09,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-16,nice,Day 10,Day 10 LUNCH,guides/nice.html#food,monaco-port-hercule-cafe,day-10.html#map,monaco-port-hercule-cafe,cached_day_10,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-17,nice,Day 10,Day 10 DINNER,guides/nice.html#food,menton-le-petit-port,day-10.html#map,menton-le-petit-port,cached_day_10,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-18,nice,Day 11,Day 11 BREAKFAST,guides/nice.html#food,marche-de-la-liberation,day-11.html#map,marche-de-la-liberation,cached_day_11,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-19,nice,Day 11,Day 11 LUNCH,guides/nice.html#food,restaurant-beatrice,day-11.html#map,restaurant-beatrice,cached_day_11,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-20,aix,Day 12,Day 12 LUNCH,guides/aix.html#food,grasse-old-town-bistro,day-12.html#map,grasse-old-town-bistro,cached_day_12,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-21,aix,Day 12,Day 12 DINNER,guides/aix.html#food,aix-cours-mirabeau-bistro,day-12.html#map,aix-cours-mirabeau-bistro,cached_day_12,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-22,aix,Day 13,Day 13 LUNCH,guides/aix.html#food,patisserie-weibel,day-13.html#map,patisserie-weibel,cached_day_13,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-23,aix,Day 13,Day 13 DINNER,guides/aix.html#food,aix-vieil-bistro-coucou,day-13.html#map,aix-vieil-bistro-coucou,cached_day_13,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-24,aix,Day 14,Day 14 LUNCH,guides/aix.html#food,chez-gilbert-cassis,day-14.html#map,chez-gilbert-cassis,cached_day_14,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-25,aix,Day 14,Day 14 DINNER,guides/aix.html#food,aix-hotel-kitchen,day-14.html#map,aix-hotel-kitchen,cached_day_14,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-26,aix,Day 15,Day 15 LUNCH,guides/aix.html#food,marseille-vieux-port-seafood,day-15.html#map,marseille-vieux-port-seafood,cached_day_15,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-27,aix,Day 15,Day 15 DINNER,guides/aix.html#food,aix-vieil-bistro,day-15.html#map,aix-vieil-bistro,cached_day_15,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-28,luberon,Day 16,Day 16 DINNER,guides/luberon.html#food,domaine-des-peyre-kitchen,day-16.html#map,domaine-des-peyre-kitchen,cached_day_16,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-29,luberon,Day 17,Day 17 LUNCH,guides/luberon.html#food,roussillon-ochre-cafe,day-17.html#map,roussillon-ochre-cafe,cached_day_17,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-30,luberon,Day 17,Day 17 DINNER,guides/luberon.html#food,domaine-des-peyre-kitchen,day-17.html#map,domaine-des-peyre-kitchen,cached_day_17,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-31,luberon,Day 18,Day 18 LUNCH,guides/luberon.html#food,gordes-market-picnic,day-18.html#map,gordes-market-picnic,cached_day_18,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-32,luberon,Day 18,Day 18 DINNER,guides/luberon.html#food,domaine-des-peyre-kitchen,day-18.html#map,domaine-des-peyre-kitchen,cached_day_18,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-33,avignon,Day 19,Day 19 LUNCH,guides/avignon.html#food,les-halles-d-avignon,day-19.html#map,les-halles-d-avignon,cached_day_19,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-34,avignon,Day 19,Day 19 DINNER,guides/avignon.html#food,fou-de-fafa-avignon,day-19.html#map,fou-de-fafa-avignon,cached_day_19,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-35,avignon,Day 20,Day 20 LUNCH,guides/avignon.html#food,place-du-palais-bistro,day-20.html#map,place-du-palais-bistro,cached_day_20,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-36,avignon,Day 20,Day 20 DINNER,guides/avignon.html#food,les-cocottes-saint-louis,day-20.html#map,les-cocottes-saint-louis,cached_day_20,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-37,avignon,Day 21,Day 21 LUNCH,guides/avignon.html#food,uzes-place-aux-herbes-bistro,day-21.html#map,uzes-place-aux-herbes-bistro,cached_day_21,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-38,avignon,Day 21,Day 21 DINNER,guides/avignon.html#food,avignon-intramuros-bistro,day-21.html#map,avignon-intramuros-bistro,cached_day_21,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-39,avignon,Day 22,Day 22 LUNCH,guides/avignon.html#food,le-gibolin-arles,day-22.html#map,le-gibolin-arles,cached_day_22,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-40,avignon,Day 22,Day 22 DINNER,guides/avignon.html#food,avignon-centre-bistro,day-22.html#map,avignon-centre-bistro,cached_day_22,VALID (Place -> Day),PASS,NONE,KEEP
MEAL_SLOT,SLOT-41,lyon,Day 23,Day 23 LUNCH,guides/lyon.html#food,bellecour,day-23.html#map,bellecour,cached_day_23,VALID (Place -> Day),PASS,NONE,KEEP
