item_type,slug,name,region,status,notes
REGIONAL_FOOD,socca,소카,,ACTIVE,Street Food
REGIONAL_FOOD,pissaladiere,피살라디에르,,ACTIVE,Savory Tart
REGIONAL_FOOD,salade-nicoise,살라드 뉘수아즈,,ACTIVE,Salad
REGIONAL_FOOD,pan-bagnat,팡 바냐,,ACTIVE,Sandwich
REGIONAL_FOOD,petits-farcis,프티 파르시,,ACTIVE,Main Dish
REGIONAL_FOOD,daube-nicoise,도브 뉘수아즈,,ACTIVE,Stew / Pasta
REGIONAL_FOOD,tourte-de-blettes,투르트 드 블레트,,ACTIVE,Pastry / Tart
REGIONAL_FOOD,barbajuan,바르바주앙,,ACTIVE,Appetizer
REGIONAL_FOOD,tarte-au-citron-de-menton,망통 레몬 타르트,,ACTIVE,Dessert
REGIONAL_FOOD,pa-amb-tomaquet,판 콘 토마테 (판 암 투마케트),barcelona,ACTIVE,Bread / Tapas
REGIONAL_FOOD,escalivada,에스칼리바다,barcelona,ACTIVE,Vegetable / Salad
REGIONAL_FOOD,esqueixada,에스케이샤다,barcelona,ACTIVE,Seafood Salad
REGIONAL_FOOD,botifarra-mongetes,부티파라 암 몬게테스,barcelona,ACTIVE,Main Dish
REGIONAL_FOOD,fideua,피데우아,barcelona,ACTIVE,Noodle Paella
REGIONAL_FOOD,arros-negre-banda,아로스 네그레 / 아로스 아 반다,barcelona,ACTIVE,Rice Dish
REGIONAL_FOOD,bombes-barceloneta,봄바,barcelona,ACTIVE,Tapas / Fried
REGIONAL_FOOD,crema-catalana,크레마 카탈라나,barcelona,ACTIVE,Dessert
REGIONAL_FOOD,suquet-de-peix,수케트 데 페이시,girona,ACTIVE,Seafood Stew
REGIONAL_FOOD,arros-cassola-pals,아로스 아 라 카솔라 (팔스 쌀 요리),girona,ACTIVE,Rice Casserole
REGIONAL_FOOD,mar-i-muntanya,마르 이 문타냐 (바다와 산),girona,ACTIVE,Meat & Seafood
REGIONAL_FOOD,xuixo-de-girona,추쇼 데 지로나,girona,ACTIVE,Pastry
REGIONAL_FOOD,anxoves-de-lescala,레스칼라 앤초비,girona,ACTIVE,Cured Seafood
REGIONAL_FOOD,anchois-de-collioure,콜리우르 앤초비 (IGP),collioure,ACTIVE,Cured Seafood
REGIONAL_FOOD,banyuls-collioure-wine,콜리우르 & 바뉼스 와인 (AOC),collioure,ACTIVE,Wine
REGIONAL_FOOD,calissons-d-aix,칼리송 덱스,aix,ACTIVE,Confectionery / Pastry
REGIONAL_FOOD,bouillabaisse,정통 부야베스,marseille,ACTIVE,Seafood Stew
REGIONAL_FOOD,panisse,파니스 (병아리콩 튀김),marseille,ACTIVE,Street Food / Snack
REGIONAL_FOOD,navettes-de-marseille,나베트 (오렌지꽃 비스킷),marseille,ACTIVE,Biscuit / Pastry
REGIONAL_FOOD,tapenade-anchoiade,타프나드 & 앙쇼이아드,luberon,ACTIVE,Spread / Dip
REGIONAL_FOOD,banon-goat-cheese,바농 염소 치즈,luberon,ACTIVE,Artisan Cheese
REGIONAL_FOOD,soupe-au-pistou,수프 오 피스투,luberon,ACTIVE,Vegetable Soup
REGIONAL_FOOD,daube-provencale,도브 프로방살,avignon,ACTIVE,Braised Stew
REGIONAL_FOOD,aioli-provencal,그랑 아이올리,avignon,ACTIVE,Platter
REGIONAL_FOOD,gardianne-de-taureau,가르디안 드 토로 (카마르그 황소 스튜),arles,ACTIVE,Meat Stew
REGIONAL_FOOD,tartiflette-reblochon,타르티플레트,annecy,ACTIVE,Alpine Comfort Dish
REGIONAL_FOOD,fondue-savoyarde,정통 사부아 퐁뒤,annecy,ACTIVE,Cheese Fondue
