food_slug,local_name,name_ko,region,category,short_intro,typical_price,best_context,recommended_venues,scheduled_days,source,recommended_places
socca,Socca,소카,,Street Food,병아리콩 가루와 올리브유를 무쇠 구리 팬에서 장작 화덕으로 구워낸 니스 대표 길거리 간식,€3.50~€5.00 / portion,오전 시장 및 간식,,"Day 08, 09",Cuisine Nissarde Heritage,"Cours Saleya, Chez Pipo, Chez Thérésa"
pissaladiere,Pissaladière,피살라디에르,,Savory Tart,"도우 위에 장시간 캐러멜라이즈한 양파, 앤초비, 니스 블랙 올리브를 얹어 구운 전통 타르트",€4.00~€7.00 / slice,점심 또는 아침 간식,,"Day 08, 11",Cuisine Nissarde Heritage,"Vieux Nice 제과점, Marché Forville"
salade-nicoise,Salade Niçoise,살라드 뉘수아즈,,Salad,"완숙 생토마토, 니스 올리브, 앤초비/참치, 삶은 달걀, 생채소에 올리브유만 더한 정통 지중해 샐러드",€14.00~€22.00,가벼운 점심,,"Day 08, 11",Cuisine Nissarde Official Standard,"Vieux Nice 비스트로, Restaurant Béatrice"
pan-bagnat,Pan Bagnat,팡 바냐,,Sandwich,통밀 빵에 니스와즈 샐러드 속재료를 채워 올리브유와 채소 즙이 빵에 촉촉이 스며들게 만든 피크닉 샌드위치,€6.00~€9.00,해변 피크닉 / 간편식,,"Day 08, 11",Cuisine Nissarde Official Standard,"Promenade 해변 제과점, Cours Saleya"
petits-farcis,Petits Farcis,프티 파르시,,Main Dish,"주키니, 토마토, 가지 등 지중해 채소 속을 파내고 다진 고기와 치즈를 채워 구워낸 니스식 채소구이",€16.00~€24.00,점심 또는 저녁 정찬,,Day 08,Cuisine Nissarde Heritage,"Chez Acchiardo, Lou Balico"
daube-nicoise,Daube Niçoise,도브 뉘수아즈,,Stew / Pasta,소고기를 프로방스 레드 와인과 건포르치니 버섯으로 뭉근하게 끓여 수제 라비올리와 함께 먹는 스튜,€18.00~€26.00,저녁 정찬,,Day 08,Cuisine Nissarde Heritage,"Chez Acchiardo, La Table Alziari"
tourte-de-blettes,Tourte de Blettes,투르트 드 블레트,,Pastry / Tart,"근대 잎, 사과, 잣, 건포도, 치즈를 달콤하게 배합하여 패스트리 속에 구워낸 전통 파이",€4.00~€6.00 / slice,디저트 또는 아침 간식,,Day 08,Cuisine Nissarde Heritage,Vieux Nice 로컬 베이커리
barbajuan,Barbajuan,바르바주앙,,Appetizer,"근대(시금치), 리코타 치즈, 리크를 반죽 피에 싸서 바삭하게 튀겨낸 모나코·리비에라 전통 튀김만두",€1.50~€2.50 / piece,시장 점심 / 애피타이저,,Day 10,Monaco National Gastronomy,Marché de La Condamine (Monaco)
tarte-au-citron-de-menton,Tarte au Citron de Menton,망통 레몬 타르트,,Dessert,지중해 미기후에서 자란 망통 IGP 레몬의 진하고 상큼한 풍미를 담은 커스터드 레몬 타르트,€5.00~€8.00 / piece,오후 티 타임 / 저녁 디저트,,Day 10,Menton Citrus Heritage,"Menton 구시가지 카페, Le Petit Port"
pa-amb-tomaquet,Pa amb tomàquet,판 콘 토마테 (판 암 투마케트),barcelona,Bread / Tapas,구운 코카 빵에 생마늘과 완숙 토마토를 문지르고 올리브유와 소금을 친 카탈루냐 식탁의 절대적 기본값,€2.50~€4.50,모든 식사 시작 및 타파스,"Bodega Joan, Bar Cañete, Mercat de la Concepció","Day 01, 02, 03, 04",Catalan Culinary Heritage,
escalivada,Escalivada,에스칼리바다,barcelona,Vegetable / Salad,"숯불에 통째로 구워 껍질을 벗긴 가지, 피망, 양파에 올리브유를 듬뿍 친 온화한 채소 전채 요리",€8.00~€14.00,점심·저녁 전채,"Bodega Joan, Bar Cañete","Day 02, 03",Catalan Traditional Gastronomy,
esqueixada,Esqueixada,에스케이샤다,barcelona,Seafood Salad,"잘게 찢은 소금에 절인 생대구살과 토마토, 양파, 올리브를 올리브유로 버무린 상큼한 여름 샐러드",€10.00~€16.00,가벼운 점심·타파스,"Bar Cañete, Boqueria 바",Day 03,Catalan Traditional Gastronomy,
botifarra-mongetes,Botifarra amb mongetes,부티파라 암 몬게테스,barcelona,Main Dish,육즙이 풍부한 카탈루냐 수제 돼지고기 소시지와 부드러운 흰 강낭콩 볶음,€11.00~€17.00,든든한 저녁 정찬,Bodega Joan,Day 02,Catalan Classic Comfort Food,
fideua,Fideuà,피데우아,barcelona,Noodle Paella,쌀 대신 짧고 얇은 파스타 국수를 진한 생선 육수와 해산물로 볶아 구워낸 해안 정통 면 요리 (알리올리 필수),€14.00~€22.00,점심 주메뉴,"La Paradeta, 바르셀로네타 비스트로","Day 02, 04",Catalan Coast Specialty,
arros-negre-banda,Arròs negre / Arròs a banda,아로스 네그레 / 아로스 아 반다,barcelona,Rice Dish,오징어 먹물로 감칠맛을 극대화한 블랙 라이스 또는 진한 해산물 스톡으로 얇게 지어낸 쌀요리,€18.00~€26.00,점심 메인 (2인 이상),"La Zorra (Sitges), Bar Cañete","Day 03, 04",Contemporary / Traditional Rice,
bombes-barceloneta,Bombes de la Barceloneta,봄바,barcelona,Tapas / Fried,다진 매콤한 고기를 으깬 감자로 감싸 튀겨내고 알리올리와 브라바 매콤 소스를 얹은 대표 타파스,€3.50~€6.00 / piece,오후 간식 / 타파스 바,"Bar Cañete, Barceloneta",Day 03,Barceloneta Tapas Heritage,
crema-catalana,Crema catalana,크레마 카탈라나,barcelona,Dessert,레몬 제스트와 시나몬 향이 감도는 커스터드 크림 표면에 설탕을 뿌려 토치로 바삭하게 구워낸 디저트,€5.00~€7.50,식후 디저트,"Bodega Joan, Casa Marieta","Day 02, 04",Catalan Iconic Dessert,
