place_slug,name,region,selection_origin,meal_role,food_kind,address,lat,lng,opening_hours,closed_days,reservation_requirement,price_range,signature_dishes,scheduled_day,verified_at,source_url
bodega-joan,Bodega Joan,barcelona,RECOMMENDED,PRIMARY,RESTAURANT,"Carrer del Rosselló, 164, 08036 Barcelona",41.3892,2.1528,08:00-24:00 (식사 12:30-16:00 / 19:30-23:30),None,Recommended,€25-€35/인,Canelons tradicionals; Carne a la brasa; Paella de marisc,Day 02,2026-08-21,https://bodegajoan.com/
la-paradeta-sagrada-familia,La Paradeta Sagrada Família,barcelona,RECOMMENDED,PRIMARY,RESTAURANT,"Passatge de Simó, 18, 08025 Barcelona",41.4042,2.1764,13:00-16:00 / 20:00-23:30 (일 13:00-16:00),Mon,Walk-in only,€18-€28/인,Navajas a la plancha; Gambas; Chipirones fritos,Day 02,2026-08-21,https://www.laparadeta.com/
bar-canete,Bar Cañete,barcelona,RECOMMENDED,PRIMARY,RESTAURANT,"Carrer de la Unió, 17, 08001 Barcelona",41.3794,2.1731,13:00-24:00,None,Mandatory,€30-€45/인,Canelón de buey con trufa; Rabo de toro con foie; Navajas,Day 03,2026-08-21,https://barcanete.com/
mercat-concepcio,Mercat de la Concepció,barcelona,RECOMMENDED,MARKET,MARKET,"Carrer d'Aragó, 313-317, 08009 Barcelona",41.3965,2.1697,"08:00-15:00 (화-토 일부 20:00, 꽃시장 24h)",Sun,Walk-in,€5-€15,"신선 무화과, 복숭아, 만체고 치즈, 하몽, 에스프레소",Day 03,2026-08-21,https://www.laconcepcio.cat/
la-zorra,La Zorra,barcelona,RECOMMENDED,PRIMARY,RESTAURANT,"Passeig Marítim, 1-3, 08870 Sitges",41.2341,1.8052,13:00-16:30 / 20:30-23:00,None,Mandatory,€30-€45/인,Arròs a banda tradicional; Arròs negre; Bunyols de bacallà,Day 04,2026-08-21,https://restaurantelazorra.com/
casa-marieta,Casa Marieta,girona,RECOMMENDED,PRIMARY,RESTAURANT,"Plaça de la Independència, 5-6, 17001 Girona",41.9863,2.8236,13:00-16:00 / 20:00-23:00,None,Recommended,€25-€38/인,Pollastre amb escamarlans (Mar i muntanya); Ànec amb peres,Day 04,2026-08-21,https://casamarieta.com/
mercat-del-lleo,Mercat del Lleó,girona,RECOMMENDED,MARKET,MARKET,"Plaça del Lleó, s/n, 17002 Girona",41.9806,2.8228,07:00-14:00 (토 14:30까지),Sun,Walk-in,€5-€15,"Xuixo, Botifarra dolça, 엠포르다 수제 치즈, 과일","Day 04, 05",2026-08-21,https://www.mercatdelleo.cat/
collioure-seafood-bistro,Collioure Port Seafood Bistro (Le Trémail / Casa Gala),collioure,RECOMMENDED,PRIMARY,RESTAURANT,"Port d'Avall / Plage du Boramar, 66190 Collioure",42.5258,3.0850,12:00-14:30 / 19:00-21:30,Wed (일부),Recommended,€25-€40/인,Anchois marinés de Collioure; Poisson grillé; Zarzuela,Day 05,2026-08-21,https://www.collioure.com/
patisserie-weibel,Pâtisserie Weibel,aix,RECOMMENDED,PRIMARY,CAFE,"2 Rue Chabrier, 13100 Aix-en-Provence",43.5293,5.4485,07:30-19:00,Mon,Walk-in only,€8-€15/인,Calissons d'Aix; Tartelette aux figues; Café Crème,Day 13,2026-08-21,https://www.maisonweibel.com/
chez-gilbert-cassis,Chez Gilbert,aix,RECOMMENDED,PRIMARY,RESTAURANT,"19 Quai des Baux, 13260 Cassis",43.2144,5.5385,12:00-14:30 / 19:00-22:00,"Wed, Thu",Mandatory,€35-€75/인,Bouillabaisse traditionnelle de roche; Soupe de poissons; Cassis Blanc,Day 14,2026-08-21,https://www.chezgilbert.net/
coustellet,Marché Paysan de Coustellet,luberon,RECOMMENDED,MARKET,MARKET,"Route de Cavaillon, 84220 Coustellet",43.8672,5.1438,08:00-13:00 (일요일),Mon-Sat,Walk-in,€10-€30,"Banon 치즈, 샤슬라 포도, 무화과, 사퀴테리, 시골빵",Day 16,2026-08-21,https://www.marchepaysandecoustellet.com/
gordes,Marché de Gordes,luberon,RECOMMENDED,MARKET,MARKET,"Place du Château, 84220 Gordes",43.9114,5.2003,08:00-13:00 (화요일),Wed-Mon,Walk-in,€10-€25,"바농 염소치즈, 바게트, 절임 올리브, 라벤더 꿀",Day 18,2026-08-21,https://www.gordes-village.com/
fou-de-fafa-avignon,Fou de Fafa,avignon,RECOMMENDED,PRIMARY,RESTAURANT,"17 Rue des Trois Faucons, 84000 Avignon",43.9458,4.8082,18:30-21:30,"Mon, Tue",Mandatory,€38-€45/인,Carré d'agneau rôti; Chèvre brûlé; Fondant au chocolat,"Day 19, 20",2026-08-21,https://www.foudefafaavignon.com/
les-halles,Les Halles d'Avignon,avignon,RECOMMENDED,MARKET,MARKET,"18 Place Pie, 84000 Avignon",43.9478,4.8105,06:00-14:00 (주말 14:30까지),Mon,Walk-in,€5-€20,"Mur Végétal, Chèvre du Ventoux, 생선 델리, 바게트",Day 20,2026-08-21,https://www.avignon-leshalles.com/
les-cocottes-saint-louis,Les Cocottes Saint-Louis,avignon,RECOMMENDED,PRIMARY,RESTAURANT,"20 Rue Portail Boquier, 84000 Avignon",43.9431,4.8055,12:00-14:00 / 19:00-22:00,None,Recommended,€25-€38/인,Daube de boeuf en cocotte; Souris d'agneau confite,"Day 20, 22",2026-08-21,https://www.cloitre-saint-louis.com/
le-gibolin-arles,Le Gibolin,arles,RECOMMENDED,PRIMARY,RESTAURANT,"13 Rue des Porcelets, 13200 Arles",43.6761,4.6247,12:00-14:00 / 19:30-21:30,"Sun, Mon",Recommended,€22-€35/인,Gardianne de taureau AOP; Riz rouge de Camargue; Mousse chocolat,Day 22,2026-08-21,https://www.arlestourisme.com/
cafe-comptoir-abel,Café Comptoir Abel,lyon,RECOMMENDED,PRIMARY,RESTAURANT,"25 Rue Guynemer, 69002 Lyon",45.7523,4.8276,12:00-14:00 / 19:30-22:00,None,Mandatory,€38-€48/인,Quenelle de brochet sauce Nantua; Poulet à la crème; Cervelle de canut,Day 23,2026-08-21,https://www.cafecomptoirabel.com/
daniel-et-denise,Daniel et Denise,lyon,RECOMMENDED,PRIMARY,RESTAURANT,"156 Rue de Créqui, 69003 Lyon",45.7608,4.8437,12:00-14:00 / 19:30-22:00,"Sat, Sun",Mandatory,€39-€46/인,Pâté en croûte Champion du Monde; Tablier de sapeur; Tarte aux pralines,Day 24,2026-08-21,https://danieletdenise.fr/
