region,slug,name,grade,reason
barcelona,bar-canete,Bar Cañete,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
girona,casa-marieta,Casa Marieta,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
nice,nice-walk,Nice Old Town–Castle Hill Walk,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
nice,cannes-walk,Cannes Forville–Suquet–Croisette Walk,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
nice,monaco-walk,Monaco Rocher–Port–Monte Carlo Walk,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
nice,promenade-des-anglais,Promenade des Anglais,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
nice,vieux-nice,Vieux Nice — 구시가지,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
nice,le-figuier-de-saint-esprit,Le Figuier de Saint-Esprit,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
nice,restaurant-beatrice,Restaurant & Salon de Thé Béatrice,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
aix,patisserie-weibel,Pâtisserie Weibel,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
aix,chez-gilbert-cassis,Chez Gilbert,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
avignon,arles,Arles,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
avignon,arenes-d-arles,Arènes d’Arles,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
avignon,theatre-antique-arles,Théâtre antique,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
avignon,fou-de-fafa-avignon,Fou de Fafa,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
avignon,les-cocottes-saint-louis,Les Cocottes Saint-Louis,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
avignon,le-gibolin-arles,Le Gibolin,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
lyon,daniel-et-denise,Daniel et Denise,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
lyon,chez-mamie-lise,Chez Mamie Lise,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,musee-d-art-moderne-de-paris,Musée d'Art Moderne de Paris,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,musee-d-orsay,Musée d'Orsay,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,musee-de-l-orangerie,Musée de l'Orangerie,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,musee-du-louvre,Musée du Louvre,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,musee-du-luxembourg,Musée du Luxembourg,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,musee-guimet,Musée Guimet,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,musee-gustave-moreau,Musée Gustave Moreau,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,musee-jacquemart-andre,Musée Jacquemart-André,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,musee-marmottan-monet,Musée Marmottan Monet,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,musee-picasso-paris,Musée Picasso Paris,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,musee-rodin,Musée Rodin,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,notre-dame-de-paris,Notre-Dame de Paris,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,petit-palais,Petit Palais,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,versailles,Versailles,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,boulangerie-pichard,Boulangerie Pichard,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,marche-convention,Marché Convention,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,cafe-du-commerce,Café du Commerce,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,le-grand-pan,Le Grand Pan,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
paris,bouillon-chartier-montparnasse,Bouillon Chartier Montparnasse,essential,guide 'Don't Miss' 상한 6개 초과 · grade=essential 이라 '그 밖의 장소'에서도 제외
