page,text,cls,href,decoration,color,parent_color,in_card
guide/aix.html,Atelier des Lauves,card-link,../places/atelier-des-lauves.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Calanques,card-link,../places/calanques.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Cassis 항구,card-link,../places/cassis.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Cours Mirabeau,card-link,../places/cours-mirabeau.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,시장 — Place Richelme · Place des Prêcheurs,card-link,../places/place-richelme-place-des-precheurs.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Vieil Aix — 구시가지,card-link,../places/vieil-aix.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Pâtisserie Weibel,card-link,../places/patisserie-weibel.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Chez Gilbert,card-link,../places/chez-gilbert-cassis.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Bastide du Jas de Bouffan,card-link,../places/bastide-du-jas-de-bouffan.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Carrières de Bibémus,card-link,../places/carrieres-de-bibemus.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Grasse,card-link,../places/grasse.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Marseille,card-link,../places/marseille.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Vieux-Port,card-link,../places/vieux-port-marseille.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Le Panier,card-link,../places/le-panier.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Mucem,card-link,../places/mucem.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Fort Saint-Jean,card-link,../places/fort-saint-jean.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Notre-Dame de la Garde,card-link,../places/notre-dame-de-la-garde.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Montagne Sainte-Victoire · Terrain des Peintres,card-link,../places/montagne-sainte-victoire-terrain-des-peintres.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Musée Granet,card-link,../places/musee-granet.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Rotonde,card-link,../places/rotonde.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/aix.html,Saint-Paul-de-Vence,card-link,../places/saint-paul-de-vence.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/avignon.html,Les Halles,card-link,../places/les-halles.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/avignon.html,Palais des Papes,card-link,../places/palais-des-papes.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/avignon.html,Pont Saint-Bénézet,card-link,../places/pont-saint-benezet.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/avignon.html,Pont du Gard,card-link,../places/pont-du-gard.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/avignon.html,Rocher des Doms,card-link,../places/rocher-des-doms.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/avignon.html,Uzès Place aux Herbes·구시가지,card-link,../places/uzes.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/avignon.html,Arles,card-link,../places/arles.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
guide/avignon.html,Arènes d’Arles,card-link,../places/arenes-d-arles.html,none,"rgb(34, 30, 25)","rgb(34, 30, 25)",True
