page,slug,region,grade,kind,linked_days,has_summary
places/arenes-d-arles.html,arenes-d-arles,avignon,essential,spot,,True
places/arles.html,arles,avignon,essential,spot,,True
places/barcelona-historic-walk.html,barcelona-historic-walk,barcelona,essential,walk,,False
places/barcelona-modernisme-walk.html,barcelona-modernisme-walk,barcelona,essential,walk,,False
places/bouillon-chartier-montparnasse.html,bouillon-chartier-montparnasse,paris,essential,spot,,True
places/boulangerie-pichard.html,boulangerie-pichard,paris,essential,spot,,True
places/cafe-du-commerce.html,cafe-du-commerce,paris,essential,spot,,True
places/cannes-walk.html,cannes-walk,nice,essential,walk,,True
places/casa-marieta.html,casa-marieta,girona,essential,spot,,True
places/chez-gilbert-cassis.html,chez-gilbert-cassis,aix,essential,spot,,True
places/chez-mamie-lise.html,chez-mamie-lise,lyon,essential,spot,,True
places/daniel-et-denise.html,daniel-et-denise,lyon,essential,spot,,True
places/fou-de-fafa-avignon.html,fou-de-fafa-avignon,avignon,essential,spot,,True
places/girona-old-town-walk.html,girona-old-town-walk,girona,essential,walk,,False
places/le-gibolin-arles.html,le-gibolin-arles,avignon,essential,spot,,True
places/le-grand-pan.html,le-grand-pan,paris,essential,spot,,True
places/les-cocottes-saint-louis.html,les-cocottes-saint-louis,avignon,essential,spot,,True
places/marche-convention.html,marche-convention,paris,essential,spot,,True
places/monaco-walk.html,monaco-walk,nice,essential,walk,,True
places/musee-d-art-moderne-de-paris.html,musee-d-art-moderne-de-paris,paris,essential,spot,,True
places/musee-de-l-orangerie.html,musee-de-l-orangerie,paris,essential,spot,,True
places/musee-du-luxembourg.html,musee-du-luxembourg,paris,essential,spot,,True
places/musee-gustave-moreau.html,musee-gustave-moreau,paris,essential,spot,,True
places/musee-jacquemart-andre.html,musee-jacquemart-andre,paris,essential,spot,,True
places/musee-marmottan-monet.html,musee-marmottan-monet,paris,essential,spot,,True
places/musee-picasso-paris.html,musee-picasso-paris,paris,essential,spot,,True
places/nce-t2.html,nce-t2,nice,None,node,,True
places/nice-walk.html,nice-walk,nice,essential,walk,,True
places/notre-dame-de-paris.html,notre-dame-de-paris,paris,essential,spot,,True
places/patisserie-weibel.html,patisserie-weibel,aix,essential,spot,,True
places/promenade-des-anglais.html,promenade-des-anglais,nice,essential,spot,,True
places/sitges.html,sitges,barcelona,optional,spot,,False
places/theatre-antique-arles.html,theatre-antique-arles,avignon,essential,spot,,True
places/versailles.html,versailles,paris,essential,spot,,True
