region,type,kind,slug,name,local_name,verdict,recommended_query,resolved_name,resolved_address,current_lat,current_lng,has_coords,evidence_url,note
aix,place,spot,atelier-des-lauves,Atelier des Lauves,Atelier de Cézanne (Les Lauves),FOUND,"Atelier de Cézanne, Aix-en-Provence",Atelier de Cézanne,"9 avenue Paul Cézanne, 13090 Aix-en-Provence",43.5392,5.4461,Y,https://www.atelier-cezanne.com/,구글맵 정본 라벨은 'Atelier de Cézanne'. 2026 재개관 일정 확인 필요
aix,place,spot,bastide-du-jas-de-bouffan,Bastide du Jas de Bouffan,Bastide du Jas de Bouffan,FOUND,"Bastide du Jas de Bouffan, Aix-en-Provence",La Bastide du Jas de Bouffan,"4 rue de Valcros, 13090 Aix-en-Provence",,,N,https://www.cezanne-en-provence.com/les-sites-de-cezanne/bastide-du-jas-de-bouffan/,좌표 없음. 예약 필수
aix,place,spot,carrieres-de-bibemus,Carrières de Bibémus,Carrières de Bibémus (Plateau de Bibémus),FOUND,"Carrières de Bibémus, Aix-en-Provence",Carrières de Bibémus,"3090 chemin de Bibémus, 13100 Aix-en-Provence",,,N,https://www.cezanne-en-provence.com/les-sites-de-cezanne/carrieres-de-bibemus/,좌표 없음. 가이드투어만
aix,place,spot,cassis,Cassis 항구,Cassis (Port de Cassis),FOUND,"Port de Cassis, Cassis",Port de Cassis,"Quai des Baux, 13260 Cassis",43.2147,5.5342,Y,https://www.ot-cassis.com/,실제 도시 Cassis — city_hint 오류
aix,place,spot,chez-gilbert-cassis,Chez Gilbert,Restaurant Chez Gilbert — Quai Baux,FOUND,"Chez Gilbert, Cassis",Restaurant Chez Gilbert,"19 quai des Baux, 13260 Cassis",43.2144,5.5375,Y,https://www.chezgilbert.net/,city_hint 오류(Aix→Cassis)
aix,place,spot,cours-mirabeau,Cours Mirabeau,Cours Mirabeau,FOUND,"Cours Mirabeau, Aix-en-Provence",Cours Mirabeau,"Cours Mirabeau, 13100 Aix-en-Provence",43.5269,5.4486,Y,https://www.aix.fr/incontournables/cours-mirabeau,대로 전체 — 핀은 중간점
aix,place,spot,fort-saint-jean,Fort Saint-Jean,Fort Saint-Jean (Marseille),FOUND,"Fort Saint-Jean, Marseille",Fort Saint-Jean (Mucem),"Esplanade J4, 13002 Marseille",,,N,https://www.mucem.org/,city_hint 오류(Aix→Marseille). 좌표 없음. 도시명 없으면 Lyon 등과 충돌
aix,place,spot,grasse,Grasse,Grasse (Capitale Mondiale du Parfum),FOUND,"Grasse, France",Grasse,"06130 Grasse, Alpes-Maritimes",43.6586,6.9242,Y,https://fr.wikipedia.org/wiki/Grasse,city_hint 오류 — Aix 에서 약 150km
aix,place,spot,le-panier,Le Panier,Le Panier (Vieux Marseille),FOUND,"Le Panier, Marseille",Le Panier,13002 Marseille,43.2981,5.3678,Y,https://fr.wikipedia.org/wiki/Le_Panier,city_hint 오류(Aix→Marseille). 지구 라벨
aix,place,spot,marseille,Marseille,Marseille,FOUND,"Marseille, France",Marseille,13000 Marseille,43.3028,5.3806,Y,https://fr.wikipedia.org/wiki/Marseille,city_hint 오류(Aix)
aix,place,spot,montagne-sainte-victoire-terrain-des-peintres,Montagne Sainte-Victoire · Terrain des Peintres,Terrain des Peintres (Vue sur Sainte-Victoire),FOUND,"Terrain des Peintres, Aix-en-Provence",Jardin des Peintres,"Chemin de la Marguerite, 13090 Aix-en-Provence",,,N,https://www.aix.fr/incontournables/jardin-peintres,공식명 Jardin des Peintres 로 변경. 산+전망대를 한 이름에 묶어 그대로는 검색 실패. 좌표 없음
aix,place,spot,mucem,Mucem,Mucem (Musée des Civilisations de l'Europe et de la Méditerranée),FOUND,"Mucem, Marseille",Mucem,"7 promenade Robert Laffont, 13002 Marseille",43.2969,5.3611,Y,https://www.mucem.org/,city_hint 오류(Aix→Marseille)
