region,day,raw_text,source_type,meal_slot_id,canonical_place_id,classification,action,final_render_status
unknown,1,기내 저녁으로 해결,DAILY_CARD_FOOD,day-01-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,1,필요 시 인근 편의점 물만,DAILY_CARD_FOOD,day-01-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,2,La Paradeta · 제철 해산물,DAILY_CARD_FOOD,day-02-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,2,Bodega Joan · 타파스,DAILY_CARD_FOOD,day-02-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,3,Bar Cañete · 타파스·해산물,DAILY_CARD_FOOD,day-03-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,3,시장 장보기 · 과일·빵,DAILY_CARD_FOOD,day-03-food,,MOVE,MOVE_TO_DAY_PREPARE,FILTERED_FROM_GUIDE
unknown,4,La Zorra · arroz a banda,DAILY_CARD_FOOD,day-04-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,4,이동용 물 2L·간식,DAILY_CARD_FOOD,day-04-food,,MOVE,MOVE_TO_DAY_PREPARE,FILTERED_FROM_GUIDE
unknown,5,Collioure 시장·생선 점심,DAILY_CARD_FOOD,day-05-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,5,Cadaqués 카페,DAILY_CARD_FOOD,day-05-food,,KEEP,KEEP_AS_REGIONAL_FOOD,RENDERED_IN_GUIDE
unknown,5,숙소 간단식,DAILY_CARD_FOOD,day-05-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,6,Sant Feliu 점심 · 식당 선택보다 출발 시각,DAILY_CARD_FOOD,day-06-food,,MOVE,MOVE_TO_DAY_PREPARE,FILTERED_FROM_GUIDE
unknown,6,숙소 저녁,DAILY_CARD_FOOD,day-06-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,7,이동 중 간단식,DAILY_CARD_FOOD,day-07-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,7,숙소 주변 가벼운 저녁,DAILY_CARD_FOOD,day-07-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,8,시장 조달 또는 구시가지 골목 식당,DAILY_CARD_FOOD,day-08-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,9,"점심: Le Figuier de Saint-Esprit (WISH-01, 미쉐린 1스타)",DAILY_CARD_FOOD,day-09-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,10,점심: Monaco (Café de Paris Monte-Carlo 또는 Marché de la Condamine),DAILY_CARD_FOOD,day-10-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,10,저녁: Menton (Le Petit Port 등),DAILY_CARD_FOOD,day-10-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,11,아침: Villefranche 항구 카페 에스프레소 & 크루아상,DAILY_CARD_FOOD,day-11-food,,KEEP,KEEP_AS_REGIONAL_FOOD,RENDERED_IN_GUIDE
unknown,11,점심: Restaurant & Salon de Thé Béatrice (WISH-02),DAILY_CARD_FOOD,day-11-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,11,저녁: Nice 숙소 간단식 또는 동네 식당,DAILY_CARD_FOOD,day-11-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,12,Grasse 점심,DAILY_CARD_FOOD,day-12-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,12,숙소권 저녁 또는 숙소식,DAILY_CARD_FOOD,day-12-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,13,시장 조달·카페 Weibel,DAILY_CARD_FOOD,day-13-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,13,19:30 Coucou 또는 La Brocherie,DAILY_CARD_FOOD,day-13-food,,KEEP,KEEP_AS_REGIONAL_FOOD,RENDERED_IN_GUIDE
unknown,14,Cassis 항구 생선 식당,DAILY_CARD_FOOD,day-14-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,14,카시스 화이트와인 — 원산지 현지 확인,DAILY_CARD_FOOD,day-14-food,,KEEP,KEEP_AS_REGIONAL_FOOD,RENDERED_IN_GUIDE
unknown,15,Vieux-Port에서 생선·해산물 점심,DAILY_CARD_FOOD,day-15-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,15,Aix 귀환 후 숙소권에서 가벼운 저녁,DAILY_CARD_FOOD,day-15-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,16,Coustellet 시장 점심,DAILY_CARD_FOOD,day-16-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,16,농가 첫 저녁 (테라스),DAILY_CARD_FOOD,day-16-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,17,Roussillon 가벼운 점심,DAILY_CARD_FOOD,day-17-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,17,농가 저녁 또는 Bonnieux,DAILY_CARD_FOOD,day-17-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,18,시장 재료 피크닉,DAILY_CARD_FOOD,day-18-food,,KEEP,KEEP_AS_REGIONAL_FOOD,RENDERED_IN_GUIDE
unknown,18,농가 저녁,DAILY_CARD_FOOD,day-18-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,19,가벼운 점심 (체크인 지연 흡수),DAILY_CARD_FOOD,day-19-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,19,Fou de Fafa 또는 Les Cocottes Saint-Louis,DAILY_CARD_FOOD,day-19-food,,KEEP,KEEP_AS_REGIONAL_FOOD,RENDERED_IN_GUIDE
unknown,20,Les Halles 조달,DAILY_CARD_FOOD,day-20-food,,KEEP,KEEP_AS_REGIONAL_FOOD,RENDERED_IN_GUIDE
unknown,20,구시가지 점심 — 가볍게,DAILY_CARD_FOOD,day-20-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,21,Uzès 가벼운 점심,DAILY_CARD_FOOD,day-21-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,21,저녁은 가볍게 (금요일 영업 재확인),DAILY_CARD_FOOD,day-21-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,22,Place du Forum 점심,DAILY_CARD_FOOD,day-22-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,22,19:30 마지막 저녁,DAILY_CARD_FOOD,day-22-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,23,도착 점심은 가볍게,DAILY_CARD_FOOD,day-23-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,23,Café Comptoir Abel 저녁,DAILY_CARD_FOOD,day-23-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,24,Vieux Lyon 골목 점심 — 가볍게,DAILY_CARD_FOOD,day-24-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,24,Daniel et Denise 특별 저녁,DAILY_CARD_FOOD,day-24-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,25,Halles Paul Bocuse 2차 리옹 미식 경험 (12:30~14:15 점심),DAILY_CARD_FOOD,day-25-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,25,저녁은 가볍게 (숙소식 또는 몽플레지르 카페),DAILY_CARD_FOOD,day-25-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,26,Chez Mamie Lise 점심,DAILY_CARD_FOOD,day-26-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,26,숙소권 간단 저녁,DAILY_CARD_FOOD,day-26-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,27,첫 장보기 — 필수품만,DAILY_CARD_FOOD,day-27-food,,MOVE,MOVE_TO_DAY_PREPARE,FILTERED_FROM_GUIDE
unknown,27,숙소식 또는 동네 식당,DAILY_CARD_FOOD,day-27-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,28,숙소식·휴식,DAILY_CARD_FOOD,day-28-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,28,가까운 저녁,DAILY_CARD_FOOD,day-28-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,29,가벼운 점심 — 긴 대기 회피,DAILY_CARD_FOOD,day-29-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,29,숙소식 또는 동네식당,DAILY_CARD_FOOD,day-29-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,30,Palais Royal 주변 점심,DAILY_CARD_FOOD,day-30-food,,STRUCTURE,STRUCTURE_AS_PLACE_LINK,RENDERED_IN_GUIDE
unknown,30,가벼운 저녁,DAILY_CARD_FOOD,day-30-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,31,숙소 점심,DAILY_CARD_FOOD,day-31-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,31,숙소 저녁,DAILY_CARD_FOOD,day-31-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,32,박물관 전 가벼운 점심,DAILY_CARD_FOOD,day-32-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,32,숙소 저녁,DAILY_CARD_FOOD,day-32-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,33,가벼운 점심 (11:30),DAILY_CARD_FOOD,day-33-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,33,가벼운 저녁,DAILY_CARD_FOOD,day-33-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,34,가벼운 점심,DAILY_CARD_FOOD,day-34-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,34,동네 저녁 (무예약),DAILY_CARD_FOOD,day-34-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,35,시장식 또는 숙소 점심,DAILY_CARD_FOOD,day-35-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,35,숙소 저녁,DAILY_CARD_FOOD,day-35-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,36,점심·휴식 12:30–14:00,DAILY_CARD_FOOD,day-36-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,36,숙소 저녁,DAILY_CARD_FOOD,day-36-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,37,경기장 식사,DAILY_CARD_FOOD,day-37-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,37,저녁 숙소식,DAILY_CARD_FOOD,day-37-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,38,브런치·숙소 점심,DAILY_CARD_FOOD,day-38-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,38,숙소 저녁,DAILY_CARD_FOOD,day-38-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,39,동부 파리 점심,DAILY_CARD_FOOD,day-39-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,39,저녁 무예약,DAILY_CARD_FOOD,day-39-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
unknown,40,축제권 점심,DAILY_CARD_FOOD,day-40-food,,REMOVE,REMOVE_FROM_GUIDE_UI,FILTERED_FROM_GUIDE
