suite,category,targets_audited,failures,verdict
validate_place_canonical_model.py,CANONICAL_PLACE,134,0,PASS
validate_itinerary.py,ITINERARY_MASTER,43,0,PASS
ex09_daily_card_audit.py,DAILY_CARDS,43,0,PASS
ex10_route_map_audit.py,DAILY_MAPS,43,0,PASS
ex11_final_verification_audit.py,CROSS_LAYER_VERIFY,567,0,PASS
ex11a_day_place_link_audit.py,DAY_PLACE_LINKS,246,0,PASS
ex12_field_offline_audit.py,OFFLINE_READINESS,67,0,PASS
ex12h_accommodation_audit.py,HOTEL_SOT,8,0,PASS
ex12r_place_link_offline_regression.py,P2_RECONCILIATION,36,0,PASS
ex13_full_trip_simulation_audit.py,TRIP_SIMULATION,43,0,PASS
fcr06_66_meal_slot_closure_audit.py,66_MEAL_SLOTS,66,0,PASS
fcr07_photo_source_rights_audit.py,PHOTO_ATTRIBUTION,445,0,PASS
fcr08_integration_regression_audit.py,FCR_INTEGRATION,8,0,PASS
fcr09_editorial_readiness_audit.py,EDITORIAL_READINESS,134,0,PASS
ex14_final_travel_readiness_audit.py,TRAVEL_READINESS,43,0,PASS
ex15_departure_operations_audit.py,DEPARTURE_OPERATIONS,1,0,PASS
mp01_link_content_navigation_audit.py,MP01_FULL_LINKS,9162,0,PASS
mp01c_transport_route_link_audit.py,TRANSPORT_ROUTES,245,0,PASS
mp01d_date_first_display_audit.py,DATE_FIRST_DISPLAY,138,0,PASS
mp01e_food_guide_cleanup_audit.py,FOOD_GUIDE_CLEANUP,85,0,PASS
mp01f_region_navigation_audit.py,REGION_NAVIGATION,18,0,PASS
mp02_guide_food_place_ui_audit.py,MP02_FOOD_LINKS,206,0,PASS
build/site.py,STATIC_SITE_GENERATION,369,0,PASS
build/ux_check.py,UX_ACCESSIBILITY,369,0,PASS
build/content_audit.py,CONTENT_LOSS_GUARD,134,0,PASS
