region,guide_entry,entry_type,place_id,place_kind,expected_target,actual_target,status
barcelona,La Paradeta Sagrada Família 점심,FOOD_CARD,la-paradeta-sagrada-familia,RESTAURANT,../places/la-paradeta-sagrada-familia.html,../places/la-paradeta-sagrada-familia.html,PASS_LINKED
barcelona,Bodega Joan 저녁,FOOD_CARD,bodega-joan,RESTAURANT,../places/bodega-joan.html,../places/bodega-joan.html,PASS_LINKED
barcelona,Bar Cañete 점심,FOOD_CARD,bar-canete,RESTAURANT,../places/bar-canete.html,../places/bar-canete.html,PASS_LINKED
barcelona,La Zorra 점심 (시체스),FOOD_CARD,la-zorra,RESTAURANT,../places/la-zorra.html,../places/la-zorra.html,PASS_LINKED
barcelona,La Paradeta· 제철 해산물,DISH_LIST_ITEM,la-paradeta-sagrada-familia,RESTAURANT,../places/la-paradeta-sagrada-familia.html,../places/la-paradeta-sagrada-familia.html,PASS_LINKED
barcelona,Bodega Joan· 타파스,DISH_LIST_ITEM,bodega-joan,RESTAURANT,../places/bodega-joan.html,../places/bodega-joan.html,PASS_LINKED
barcelona,Bar Cañete· 타파스·해산물,DISH_LIST_ITEM,bar-canete,RESTAURANT,../places/bar-canete.html,../places/bar-canete.html,PASS_LINKED
barcelona,시장 장보기 · 과일·빵,DISH_LIST_ITEM,N/A,N/A,TEXT_ONLY,NONE,PASS_TEXT_ONLY
barcelona,La Zorra· arroz a banda,DISH_LIST_ITEM,la-zorra,RESTAURANT,../places/la-zorra.html,../places/la-zorra.html,PASS_LINKED
girona,La Zorra 점심 (시체스),FOOD_CARD,la-zorra,RESTAURANT,../places/la-zorra.html,../places/la-zorra.html,PASS_LINKED
girona,Collioure 점심,FOOD_CARD,collioure,spot,../places/collioure.html,../places/collioure.html,PASS_LINKED
girona,Sant Feliu de Guíxols 점심,FOOD_CARD,N/A,N/A,TEXT_ONLY,NONE,PASS_TEXT_ONLY
girona,La Zorra· arroz a banda,DISH_LIST_ITEM,la-zorra,RESTAURANT,../places/la-zorra.html,../places/la-zorra.html,PASS_LINKED
girona,Collioure시장·생선 점심,DISH_LIST_ITEM,collioure,spot,../places/collioure.html,../places/collioure.html,PASS_LINKED
girona,Cadaqués 카페,DISH_LIST_ITEM,N/A,N/A,TEXT_ONLY,NONE,PASS_TEXT_ONLY
nice,구시가지 점심 — 니스와즈 요리,FOOD_CARD,N/A,N/A,TEXT_ONLY,../places/vieux-nice.html,INFO_EXTRA_LINK
nice,Le Figuier de Saint-Esprit 점심 (WISH-01),FOOD_CARD,le-figuier-de-saint-esprit,RESTAURANT,../places/le-figuier-de-saint-esprit.html,../places/le-figuier-de-saint-esprit.html,PASS_LINKED
nice,Monaco Port Hercule & Monte-Carlo 점심,FOOD_CARD,monaco,spot,../places/monaco.html,../places/monaco.html,PASS_LINKED
nice,Menton 저녁 — Le Petit Port,FOOD_CARD,N/A,N/A,TEXT_ONLY,../places/menton.html,INFO_EXTRA_LINK
nice,Restaurant & Salon de Thé Béatrice 점심 (WISH-02),FOOD_CARD,restaurant-beatrice,RESTAURANT,../places/restaurant-beatrice.html,../places/restaurant-beatrice.html,PASS_LINKED
nice,Grasse 점심 & Fragonard 역사공장,FOOD_CARD,grasse,spot,../places/grasse.html,../places/grasse.html,PASS_LINKED
nice,시장 조달 또는 구시가지 골목 식당,DISH_LIST_ITEM,N/A,N/A,TEXT_ONLY,NONE,PASS_TEXT_ONLY
nice,"점심:Le Figuier de Saint-Esprit(WISH-01, 미쉐린 1스타)",DISH_LIST_ITEM,le-figuier-de-saint-esprit,RESTAURANT,../places/le-figuier-de-saint-esprit.html,../places/le-figuier-de-saint-esprit.html,PASS_LINKED
nice,점심:Monaco(Café de Paris Monte-Carlo 또는 Marché de la Condamine),DISH_LIST_ITEM,monaco,spot,../places/monaco.html,../places/monaco.html,PASS_LINKED
nice,저녁: Menton (Le Petit Port 등),DISH_LIST_ITEM,N/A,N/A,TEXT_ONLY,NONE,PASS_TEXT_ONLY
nice,아침: Villefranche 항구 카페 에스프레소 & 크루아상,DISH_LIST_ITEM,N/A,N/A,TEXT_ONLY,NONE,PASS_TEXT_ONLY
nice,점심:Restaurant & Salon de Thé Béatrice(WISH-02),DISH_LIST_ITEM,restaurant-beatrice,RESTAURANT,../places/restaurant-beatrice.html,../places/restaurant-beatrice.html,PASS_LINKED
nice,Grasse점심,DISH_LIST_ITEM,grasse,spot,../places/grasse.html,../places/grasse.html,PASS_LINKED
aix,Grasse 점심 & Fragonard 역사공장,FOOD_CARD,grasse,spot,../places/grasse.html,../places/grasse.html,PASS_LINKED
aix,Vieil Aix 구시가지 점심 식사,FOOD_CARD,N/A,N/A,TEXT_ONLY,../places/vieil-aix.html,INFO_EXTRA_LINK
aix,Chez Gilbert 점심 (Cassis 항구),FOOD_CARD,chez-gilbert-cassis,RESTAURANT,../places/chez-gilbert-cassis.html,../places/chez-gilbert-cassis.html,PASS_LINKED
aix,Vieux-Port 마르세유 항구 점심,FOOD_CARD,vieux-port-marseille,spot,../places/vieux-port-marseille.html,../places/vieux-port-marseille.html,PASS_LINKED
aix,Grasse점심,DISH_LIST_ITEM,grasse,spot,../places/grasse.html,../places/grasse.html,PASS_LINKED
aix,시장 조달·카페Weibel,DISH_LIST_ITEM,patisserie-weibel,CAFE,../places/patisserie-weibel.html,../places/patisserie-weibel.html,PASS_LINKED
aix,19:30 Coucou 또는 La Brocherie,DISH_LIST_ITEM,N/A,N/A,TEXT_ONLY,NONE,PASS_TEXT_ONLY
aix,Cassis 항구생선 식당,DISH_LIST_ITEM,cassis,spot,../places/cassis.html,../places/cassis.html,PASS_LINKED
aix,카시스 화이트와인 — 원산지 현지 확인,DISH_LIST_ITEM,N/A,N/A,TEXT_ONLY,NONE,PASS_TEXT_ONLY
aix,Vieux-Port에서 생선·해산물 점심,DISH_LIST_ITEM,vieux-port-marseille,spot,../places/vieux-port-marseille.html,../places/vieux-port-marseille.html,PASS_LINKED
aix,Coustellet 시장 점심,DISH_LIST_ITEM,N/A,N/A,TEXT_ONLY,NONE,PASS_TEXT_ONLY
luberon,Gordes 시장 재료 피크닉 점심,FOOD_CARD,gordes,spot,../places/gordes.html,../places/gordes.html,PASS_LINKED
luberon,Les Halles d'Avignon 주변 점심,FOOD_CARD,les-halles,spot,../places/les-halles.html,../places/les-halles.html,PASS_LINKED
luberon,Fou de Fafa 아비뇽 첫 저녁,FOOD_CARD,fou-de-fafa-avignon,RESTAURANT,../places/fou-de-fafa-avignon.html,../places/fou-de-fafa-avignon.html,PASS_LINKED
luberon,Coustellet 시장 점심,DISH_LIST_ITEM,N/A,N/A,TEXT_ONLY,NONE,PASS_TEXT_ONLY
