region,place_id,place_name,place_kind,visual_type,icon_present,badge_label,status
barcelona,barri-gotic,Barri Gòtic,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
barcelona,cau-ferrat,Cau Ferrat,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
barcelona,sagrada-familia,Sagrada Família,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
barcelona,sant-pau-recinte-modernista,Sant Pau Recinte Modernista,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
barcelona,bodega-joan,Bodega Joan,RESTAURANT,FOOD,YES,필수|식당·미식,PASS_FOOD_ICON
barcelona,la-paradeta-sagrada-familia,La Paradeta Sagrada Família,RESTAURANT,FOOD,YES,필수|식당·미식,PASS_FOOD_ICON
barcelona,bar-canete,Bar Cañete,RESTAURANT,FOOD,YES,필수|식당·미식,PASS_FOOD_ICON
barcelona,biblioteca-de-catalunya,Biblioteca de Catalunya,spot,ATTRACTION,YES,우선 추천|명소,PASS_ATTRACTION_ICON
barcelona,macba,MACBA,spot,ATTRACTION,YES,선택|명소,PASS_ATTRACTION_ICON
barcelona,palau-de-maricel,Palau de Maricel,spot,ATTRACTION,YES,우선 추천|명소,PASS_ATTRACTION_ICON
barcelona,mercat-concepcio,Mercat de la Concepció,MARKET,FOOD,YES,우선 추천|식당·미식,PASS_FOOD_ICON
barcelona,la-zorra,La Zorra,RESTAURANT,FOOD,YES,우선 추천|식당·미식,PASS_FOOD_ICON
girona,calella-de-palafrugell,Calella de Palafrugell,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
girona,collioure,Collioure,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
girona,girona-cathedral,Girona Cathedral,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
girona,passeig-de-la-muralla,Passeig de la Muralla,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
girona,onyar,Onyar 강변,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
girona,peratallada,Peratallada,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
girona,casa-marieta,Casa Marieta,RESTAURANT,FOOD,YES,필수|식당·미식,PASS_FOOD_ICON
girona,pals,Pals,spot,ATTRACTION,YES,우선 추천|명소,PASS_ATTRACTION_ICON
girona,peralada,Peralada,spot,ATTRACTION,YES,우선 추천|명소,PASS_ATTRACTION_ICON
girona,mercat-del-lleo,Mercat del Lleó,MARKET,FOOD,YES,우선 추천|식당·미식,PASS_FOOD_ICON
nice,colline-du-chateau,Colline du Château (성채 언덕),spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
nice,cours-saleya,Cours Saleya,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
nice,le-rocher,Le Rocher — 모나코 구시가지,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
nice,le-suquet,Le Suquet — 칸 구시가지,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
nice,marche-forville,Marché Forville,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
nice,menton,Menton (멘통),spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
nice,nice-walk,Nice Old Town–Castle Hill Walk,walk,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
nice,cannes-walk,Cannes Forville–Suquet–Croisette Walk,walk,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
nice,monaco-walk,Monaco Rocher–Port–Monte Carlo Walk,walk,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
nice,promenade-des-anglais,Promenade des Anglais,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
nice,vieux-nice,Vieux Nice — 구시가지,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
nice,le-figuier-de-saint-esprit,Le Figuier de Saint-Esprit,RESTAURANT,FOOD,YES,필수|식당·미식,PASS_FOOD_ICON
nice,restaurant-beatrice,Restaurant & Salon de Thé Béatrice,RESTAURANT,FOOD,YES,필수|식당·미식,PASS_FOOD_ICON
nice,cannes,Cannes,spot,ATTRACTION,YES,우선 추천|명소,PASS_ATTRACTION_ICON
nice,marche-de-la-liberation,Marché de la Libération,spot,ATTRACTION,YES,우선 추천|명소,PASS_ATTRACTION_ICON
nice,monaco,Monaco,spot,ATTRACTION,YES,우선 추천|명소,PASS_ATTRACTION_ICON
nice,villa-ephrussi-de-rothschild,Villa Ephrussi de Rothschild,spot,ATTRACTION,YES,우선 추천|명소,PASS_ATTRACTION_ICON
aix,atelier-des-lauves,Atelier des Lauves,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
aix,calanques,Calanques,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
aix,cassis,Cassis 항구,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
aix,cours-mirabeau,Cours Mirabeau,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
aix,place-richelme-place-des-precheurs,시장 — Place Richelme · Place des Prêcheurs,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
aix,vieil-aix,Vieil Aix — 구시가지,spot,ATTRACTION,YES,필수|명소,PASS_ATTRACTION_ICON
aix,patisserie-weibel,Pâtisserie Weibel,CAFE,FOOD,YES,필수|식당·미식,PASS_FOOD_ICON
aix,chez-gilbert-cassis,Chez Gilbert,RESTAURANT,FOOD,YES,필수|식당·미식,PASS_FOOD_ICON
