place_id,place_name,region,place_kind,food_kind,currently_has_photo,photo_path_or_url,license,visual_type,used_in_guide,used_in_place_detail,layout_break_risk,status,action_required
atelier-des-lauves,Atelier des Lauves,aix,spot,,YES,source/ASSETS/photos/originals/aix/aix-cezanne-01.jpg,CC BY-SA 4.0,place,YES,YES,LOW,HAS_PHOTO,
bastide-du-jas-de-bouffan,Bastide du Jas de Bouffan,aix,spot,,YES,source/ASSETS/photos/originals/aix/aix-bastide-du-jas-de-bouffan-01.jpg,CC BY 3.0,place,YES,YES,LOW,HAS_PHOTO,
calanques,Calanques,aix,spot,,YES,source/ASSETS/photos/originals/aix/aix-calanques-01.jpg,CC BY-SA 4.0,place,YES,YES,LOW,HAS_PHOTO,
carrieres-de-bibemus,Carrières de Bibémus,aix,spot,,YES,source/ASSETS/photos/originals/aix-carrieres-de-bibemus-01.jpg,CC BY-SA 3.0,place,YES,YES,LOW,HAS_PHOTO,
cassis,Cassis 항구,aix,spot,,YES,source/ASSETS/photos/originals/aix/aix-cassis-01.jpg,Public Domain,place,YES,YES,LOW,HAS_PHOTO,
chez-gilbert-cassis,Chez Gilbert,aix,spot,RESTAURANT,NO,,,food,YES,YES,LOW,FALLBACK_ONLY,Commons 허용 라이선스 사진 없음 — placeholder 유지
cours-mirabeau,Cours Mirabeau,aix,spot,,YES,source/ASSETS/photos/originals/aix/aix-mirabeau-01.jpg,CC BY-SA 3.0,place,YES,YES,LOW,HAS_PHOTO,
fort-saint-jean,Fort Saint-Jean,aix,spot,,YES,source/ASSETS/photos/originals/aix/aix-fort-saint-jean-01.jpg,CC BY-SA 3.0,place,YES,YES,LOW,HAS_PHOTO,
grasse,Grasse,aix,spot,,YES,source/ASSETS/photos/originals/aix/aix-grasse-01.jpg,CC BY-SA 2.0,place,YES,YES,LOW,HAS_PHOTO,
le-panier,Le Panier,aix,spot,,YES,source/ASSETS/photos/originals/aix/aix-le-panier-01.jpg,CC BY-SA 3.0,place,YES,YES,LOW,HAS_PHOTO,
marseille,Marseille,aix,spot,,YES,source/ASSETS/photos/originals/aix/aix-marseille-01.jpg,CC BY-SA 4.0,place,YES,YES,LOW,HAS_PHOTO,
montagne-sainte-victoire-terrain-des-peintres,Montagne Sainte-Victoire · Terrain des Peintres,aix,spot,,YES,source/ASSETS/photos/originals/aix/aix-montagne-sainte-victoire-terrain-des-peintres-01.jpg,CC BY-SA 4.0,place,YES,YES,LOW,HAS_PHOTO,
mucem,Mucem,aix,spot,,YES,source/ASSETS/photos/originals/aix/aix-mucem-01.jpg,CC0 1.0,place,YES,YES,LOW,HAS_PHOTO,
musee-granet,Musée Granet,aix,spot,,YES,source/ASSETS/photos/originals/aix/aix-granet-01.jpg,CC BY-SA 4.0,place,YES,YES,LOW,HAS_PHOTO,
notre-dame-de-la-garde,Notre-Dame de la Garde,aix,spot,,YES,source/ASSETS/photos/originals/aix/aix-notre-dame-de-la-garde-01.jpg,CC BY-SA 3.0,place,YES,YES,LOW,HAS_PHOTO,
