place_id,image_id,source_name,source_url,image_url,width,height,license,license_url,creator,attribution_note,acquired_date,alt_ko
carrieres-de-bibemus,aix-carrieres-de-bibemus-01,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Carri%C3%A8res_de_Bib%C3%A9mus_-_1.JPG,https://upload.wikimedia.org/wikipedia/commons/c/c2/Carri%C3%A8res_de_Bib%C3%A9mus_-_1.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,3264,2448,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Camster,저작자 표시 필요,2026-08-22,비베뮈 채석장의 주황빛 절개면과 주변 수풀
vieil-aix,aix-vieil-aix-01,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Aix-en-Provence_(13)_Place_d%27Albertas_949.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Aix-en-Provence_%2813%29_Place_d%27Albertas_949.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,7728,5152,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,GFreihalter,저작자 표시 필요,2026-08-22,엑상프로방스 구시가지 알베르타 광장의 분수와 18세기 저택 정면
barcelona-sants,barcelona-barcelona-sants-01,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Estacio_Barcelona_Sants_-_1_-_2010-10-18_-_JTCurses.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3c/Estacio_Barcelona_Sants_-_1_-_2010-10-18_-_JTCurses.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,4288,2848,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,JT Curses,저작자 표시 필요,2026-08-22,바르셀로나 산츠역 정면 출입구와 택시 승강장
menton,nice-menton-01,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Menton-C%C3%B4te_d%27Azur.jpg,https://upload.wikimedia.org/wikipedia/commons/9/90/Menton-C%C3%B4te_d%27Azur.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,5505,2960,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Tobi 87,저작자 표시 필요,2026-08-22,멘통 구시가지의 파스텔빛 건물군과 생미셸 성당 종탑 해변 전경
nce-t2,nice-nce-t2-01,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Terminal_2_Interior_Nice_C%C3%B4te_d%27Azur_airport.jpg,https://upload.wikimedia.org/wikipedia/commons/1/15/Terminal_2_Interior_Nice_C%C3%B4te_d%27Azur_airport.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,4288,2848,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,m-louis,저작자 표시 필요,2026-08-22,니스 코트다쥐르 공항 제2터미널 내부 대합실
nice-ville,nice-nice-ville-01,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Nice_train_Station.JPG,https://upload.wikimedia.org/wikipedia/commons/b/b7/Nice_train_Station.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,3984,2656,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,DV,저작자 표시 필요,2026-08-22,니스빌역 정면 파사드와 역 시계
villa-ephrussi-de-rothschild,nice-villa-ephrussi-de-rothschild-01,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Villa_ephrussi_de_rothschild.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1d/Villa_ephrussi_de_rothschild.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,4042,2800,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Velvet,저작자 표시 필요,2026-08-22,빌라 에프뤼시 드 로스차일드의 분홍빛 남쪽 파사드와 프랑스식 정원
musee-carnavalet,paris-musee-carnavalet-01,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cour_Louis_XIV_au_Mus%C3%A9e_Carnavalet_%C3%A0_Paris_le_30_septembre_2016_-_17.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/Cour_Louis_XIV_au_Mus%C3%A9e_Carnavalet_%C3%A0_Paris_le_30_septembre_2016_-_17.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,5184,3456,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Lionel Allorge,저작자 표시 필요,2026-08-22,카르나발레 박물관 루이 14세 안뜰과 중앙의 루이 14세 청동상
musee-d-art-moderne-de-paris,paris-musee-d-art-moderne-de-paris-01,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Entr%C3%A9e_mus%C3%A9e_d%27art_moderne_de_Paris_en_2025.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cc/Entr%C3%A9e_mus%C3%A9e_d%27art_moderne_de_Paris_en_2025.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,3024,4032,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Zen 38,,2026-08-22,파리 시립 현대미술관 정문 계단과 전시 배너
musee-du-luxembourg,paris-musee-du-luxembourg-01,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Mus%C3%A9e_Luxembourg_-_Paris_VI_(FR75)_-_2025-09-28_-_1.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6c/Mus%C3%A9e_Luxembourg_-_Paris_VI_%28FR75%29_-_2025-09-28_-_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,5712,4284,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Chabe01,저작자 표시 필요,2026-08-22,뤽상부르 미술관 정면 입구와 관람객 대기줄
musee-guimet,paris-musee-guimet-01,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Mus%C3%A9e_Guimet_%C3%A0_Paris_(janvier_2020).jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/Mus%C3%A9e_Guimet_%C3%A0_Paris_%28janvier_2020%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,2936,3328,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Benoît Prieur,,2026-08-22,기메 국립아시아미술관의 원형 로톤다 외관
musee-gustave-moreau,paris-musee-gustave-moreau-01,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Mus%C3%A9e_Gustave_Moreau_exterieur.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Mus%C3%A9e_Gustave_Moreau_exterieur.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,2592,4608,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Ziqo,저작자 표시 필요,2026-08-22,귀스타브 모로 국립미술관 파사드와 돌출 간판
musee-jacquemart-andre,paris-musee-jacquemart-andre-01,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Mus%C3%A9e_Jacquemart-Andr%C3%A9,_Paris_8e_3-1.jpg",https://upload.wikimedia.org/wikipedia/commons/1/18/Mus%C3%A9e_Jacquemart-Andr%C3%A9%2C_Paris_8e_3-1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,5472,3648,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Polymagou,저작자 표시 필요,2026-08-22,오스만 대로 자크마르-앙드레 미술관 저택 외관
