region,card_type,place_id,has_photo,has_placeholder,placeholder_label,status
aix,place-card-lg,atelier-des-lauves,YES,NO,명소·관광,HAS_PHOTO
aix,place-card-lg,calanques,YES,NO,명소·관광,HAS_PHOTO
aix,place-card-lg,cassis,YES,NO,명소·관광,HAS_PHOTO
aix,place-card-lg,cours-mirabeau,YES,NO,명소·관광,HAS_PHOTO
aix,place-card-lg,place-richelme-place-des-precheurs,YES,NO,명소·관광,HAS_PHOTO
aix,place-card-lg,vieil-aix,NO,YES,장소 사진 자리,FALLBACK_OK
aix,place-card,patisserie-weibel,NO,YES,카페 사진 자리,FALLBACK_OK
aix,place-card,chez-gilbert-cassis,NO,YES,식당·카페 사진 자리,FALLBACK_OK
aix,place-card,bastide-du-jas-de-bouffan,YES,NO,명소·관광,HAS_PHOTO
aix,place-card,carrieres-de-bibemus,NO,YES,장소 사진 자리,FALLBACK_OK
aix,place-card,grasse,YES,NO,명소·관광,HAS_PHOTO
aix,place-card,marseille,YES,NO,명소·관광,HAS_PHOTO
aix,place-card,vieux-port-marseille,YES,NO,명소·관광,HAS_PHOTO
aix,place-card,le-panier,YES,NO,명소·관광,HAS_PHOTO
aix,place-card,mucem,YES,NO,명소·관광,HAS_PHOTO
aix,place-card,fort-saint-jean,YES,NO,명소·관광,HAS_PHOTO
aix,place-card,notre-dame-de-la-garde,YES,NO,명소·관광,HAS_PHOTO
aix,place-card,montagne-sainte-victoire-terrain-des-peintres,YES,NO,명소·관광,HAS_PHOTO
aix,place-card,musee-granet,YES,NO,명소·관광,HAS_PHOTO
aix,place-card,rotonde,YES,NO,명소·관광,HAS_PHOTO
aix,place-card,saint-paul-de-vence,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card-lg,les-halles,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card-lg,palais-des-papes,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card-lg,pont-saint-benezet,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card-lg,pont-du-gard,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card-lg,rocher-des-doms,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card-lg,uzes,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card,arles,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card,arenes-d-arles,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card,theatre-antique-arles,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card,fou-de-fafa-avignon,NO,YES,식당·카페 사진 자리,FALLBACK_OK
avignon,place-card,les-cocottes-saint-louis,NO,YES,식당·카페 사진 자리,FALLBACK_OK
avignon,place-card,le-gibolin-arles,NO,YES,식당·카페 사진 자리,FALLBACK_OK
avignon,place-card,carrieres-des-lumieres,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card,glanum,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card,les-baux-de-provence,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card,saint-paul-de-mausole,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card,saint-remy-de-provence,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card,place-du-forum-arles,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card,cloitre-saint-trophime,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card,fondation-vincent-van-gogh-arles,YES,NO,명소·관광,HAS_PHOTO
avignon,place-card,la-roquette,YES,NO,명소·관광,HAS_PHOTO
barcelona,place-card-lg,barri-gotic,YES,NO,명소·관광,HAS_PHOTO
barcelona,place-card-lg,cau-ferrat,YES,NO,명소·관광,HAS_PHOTO
barcelona,place-card-lg,sagrada-familia,YES,NO,명소·관광,HAS_PHOTO
barcelona,place-card-lg,sant-pau-recinte-modernista,YES,NO,명소·관광,HAS_PHOTO
barcelona,place-card-lg,bodega-joan,NO,YES,식당·카페 사진 자리,FALLBACK_OK
barcelona,place-card-lg,la-paradeta-sagrada-familia,NO,YES,식당·카페 사진 자리,FALLBACK_OK
barcelona,place-card,bar-canete,NO,YES,식당·카페 사진 자리,FALLBACK_OK
barcelona,place-card,biblioteca-de-catalunya,YES,NO,명소·관광,HAS_PHOTO
barcelona,place-card,macba,YES,NO,명소·관광,HAS_PHOTO
barcelona,place-card,palau-de-maricel,YES,NO,명소·관광,HAS_PHOTO
