id,name,region,current_type,source_file,canonical_source_candidate,generated_url,day_refs,region_refs,walk_refs,map_ref,search_ref,has_dedicated_place_page,current_content_depth,facts_status,source_status,duplicate_candidate,alias_candidate,orphan_status,archive_candidate,notes
---,---,paris,---,source/ASSETS/91_Place_Registry_v1.0.md,source/ASSETS/91_Place_Registry_v1.0.md,,,paris,,N,N,N,NONE,1/11 facts,REGISTRY_ONLY,,,NO_DAY_REF; NO_GENERATED_PAGE,N,
a-d-aligre-butte-aux-cailles-convention-batignolles,a-d-aligre-butte-aux-cailles-convention-batignolles,unknown,spot,source/ASSETS/91_Place_Registry_v1.0.md,data/place-facts.json,,,unknown,,N,N,N,NONE,0/11 facts,DATA_ONLY,,,NO_DAY_REF; NO_REGION_REF; NO_GENERATED_PAGE,N,
abbaye-de-senanque,Abbaye de Sénanque,luberon,spot,source/CURRENT/30_Places/abbaye-de-senanque.md,source/CURRENT/30_Places/abbaye-de-senanque.md,places/abbaye-de-senanque.html,,luberon,,N,N,Y,DEEP_GUIDE,2/11 facts,CANONICAL_MD_AND_REGISTRY,,,NO_DAY_REF,N,
acchiardo,acchiardo,unknown,spot,source/ASSETS/91_Place_Registry_v1.0.md,data/place-facts.json,,,unknown,,N,N,N,NONE,1/11 facts,DATA_ONLY,,,NO_DAY_REF; NO_REGION_REF; NO_GENERATED_PAGE,N,
aerobus,aerobus,unknown,spot,source/ASSETS/91_Place_Registry_v1.0.md,data/place-facts.json,,,unknown,,N,N,N,NONE,1/11 facts,DATA_ONLY,,,NO_DAY_REF; NO_REGION_REF; NO_GENERATED_PAGE,N,
aix-stay-candidate,aix-stay-candidate,unknown,spot,source/ASSETS/91_Place_Registry_v1.0.md,data/place-facts.json,,,unknown,,Y,N,N,NONE,0/11 facts,DATA_ONLY,,,NO_DAY_REF; NO_REGION_REF; NO_GENERATED_PAGE,N,
annecy,Annecy 구시가지,lyon,spot,source/CURRENT/30_Places/annecy.md,source/CURRENT/30_Places/annecy.md,places/annecy.html,,lyon,,Y,N,Y,DEEP_GUIDE,3/11 facts,CANONICAL_MD_AND_REGISTRY,,,NO_DAY_REF,N,
annecy-cruise,annecy-cruise,unknown,spot,source/ASSETS/91_Place_Registry_v1.0.md,data/place-facts.json,,,unknown,,N,N,N,NONE,0/11 facts,DATA_ONLY,,,NO_DAY_REF; NO_REGION_REF; NO_GENERATED_PAGE,N,
annecy-palais-de-l-ile,annecy-palais-de-l-ile,unknown,spot,source/ASSETS/91_Place_Registry_v1.0.md,data/place-facts.json,,,unknown,,N,N,N,NONE,1/11 facts,DATA_ONLY,,,NO_DAY_REF; NO_REGION_REF; NO_GENERATED_PAGE,N,
arc-de-triomphe-longchamp,arc-de-triomphe-longchamp,unknown,spot,source/ASSETS/91_Place_Registry_v1.0.md,data/place-facts.json,,,unknown,,N,N,N,NONE,1/11 facts,DATA_ONLY,,,NO_DAY_REF; NO_REGION_REF; NO_GENERATED_PAGE,N,
arenes-d-arles,Arènes d’Arles,avignon,spot,source/CURRENT/30_Places/arenes-d-arles.md,source/CURRENT/30_Places/arenes-d-arles.md,places/arenes-d-arles.html,Day 22,avignon,,N,N,Y,SHORT_DESCRIPTION,1/11 facts,CANONICAL_MD_AND_REGISTRY,,,NONE,N,
arles,Arles,avignon,spot,source/CURRENT/30_Places/arles.md,source/CURRENT/30_Places/arles.md,places/arles.html,,avignon,,N,N,Y,SHORT_DESCRIPTION,1/11 facts,CANONICAL_MD_AND_REGISTRY,,,NO_DAY_REF,N,
arles-arenes,arles-arenes,unknown,spot,source/ASSETS/91_Place_Registry_v1.0.md,data/place-facts.json,,,unknown,,Y,N,N,NONE,0/11 facts,DATA_ONLY,,,NO_DAY_REF; NO_REGION_REF; NO_GENERATED_PAGE,N,
arles-la-roquette,arles-la-roquette,unknown,spot,source/ASSETS/91_Place_Registry_v1.0.md,data/place-facts.json,,,unknown,,N,N,N,NONE,1/11 facts,DATA_ONLY,,,NO_DAY_REF; NO_REGION_REF; NO_GENERATED_PAGE,N,
arles-theatre-antique,arles-theatre-antique,unknown,spot,source/ASSETS/91_Place_Registry_v1.0.md,data/place-facts.json,,,unknown,,Y,N,N,NONE,1/11 facts,DATA_ONLY,,,NO_DAY_REF; NO_REGION_REF; NO_GENERATED_PAGE,N,
atelier-des-lauves,Atelier des Lauves,aix,spot,source/CURRENT/30_Places/atelier-des-lauves.md,source/CURRENT/30_Places/atelier-des-lauves.md,places/atelier-des-lauves.html,Day 15,aix,,Y,N,Y,MEDIUM_GUIDE,2/11 facts,CANONICAL_MD_AND_REGISTRY,,,NONE,N,
auditSources,auditSources,unknown,spot,source/ASSETS/91_Place_Registry_v1.0.md,data/place-facts.json,,,unknown,,N,N,N,NONE,0/11 facts,DATA_ONLY,,,NO_DAY_REF; NO_REGION_REF; NO_GENERATED_PAGE,N,
avignon-centre,avignon-centre,unknown,spot,source/ASSETS/91_Place_Registry_v1.0.md,data/place-facts.json,,Day 22,unknown,,Y,N,N,NONE,0/11 facts,DATA_ONLY,,,NO_REGION_REF; NO_GENERATED_PAGE,N,
avignon-stay-candidate,avignon-stay-candidate,unknown,spot,source/ASSETS/91_Place_Registry_v1.0.md,data/place-facts.json,,,unknown,,Y,N,N,NONE,0/11 facts,DATA_ONLY,,,NO_DAY_REF; NO_REGION_REF; NO_GENERATED_PAGE,N,
avignon-tgv,avignon-tgv,unknown,spot,source/ASSETS/91_Place_Registry_v1.0.md,data/place-facts.json,,Day 23,unknown,,Y,N,N,NONE,0/11 facts,DATA_ONLY,,,NO_REGION_REF; NO_GENERATED_PAGE,N,
bar-canete,bar-canete,unknown,spot,source/ASSETS/91_Place_Registry_v1.0.md,data/place-facts.json,,Day 03,unknown,,N,N,N,NONE,2/11 facts,DATA_ONLY,,,NO_REGION_REF; NO_GENERATED_PAGE,N,
barcelona-gracia,barcelona-gracia,unknown,spot,source/ASSETS/91_Place_Registry_v1.0.md,data/place-facts.json,,,unknown,,N,N,N,NONE,0/11 facts,DATA_ONLY,,,NO_DAY_REF; NO_REGION_REF; NO_GENERATED_PAGE,N,
barcelona-historic-walk,Barcelona 역사도심 — Barri Gòtic·Rambla 권역,barcelona,walk,source/ASSETS/91_Place_Registry_v1.0.md,source/ASSETS/91_Place_Registry_v1.0.md,places/barcelona-historic-walk.html,,barcelona,walk,N,N,Y,NONE,0/11 facts,REGISTRY_ONLY,,,NO_DAY_REF,N,
barcelona-modernisme-walk,Barcelona Modernisme — Eixample 권역,barcelona,walk,source/ASSETS/91_Place_Registry_v1.0.md,source/ASSETS/91_Place_Registry_v1.0.md,places/barcelona-modernisme-walk.html,,barcelona,walk,N,N,Y,NONE,0/11 facts,REGISTRY_ONLY,,,NO_DAY_REF,N,
barcelona-sants,Barcelona Sants,barcelona,node,source/CURRENT/30_Places/barcelona-sants.md,source/CURRENT/30_Places/barcelona-sants.md,places/barcelona-sants.html,"Day 01,Day 04",barcelona,,Y,N,Y,SHORT_DESCRIPTION,1/11 facts,CANONICAL_MD_AND_REGISTRY,,,NONE,N,바르셀로나 철도 관문 노드 (Transit Node)
