phase,파일,매치수,분류,처리,비고
P0,MP01D_DATE_DISPLAY_AUDIT.csv,33,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,FCR03_PROVENCE_FOOD_EXPANSION_QA.md,33,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,AV01_AVIGNON_RECONSOLIDATION_QA.md,27,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,LB01_LUBERON_RECONSOLIDATION_QA.md,25,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,FCR03_MEAL_SLOT_AUDIT.csv,23,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,EX01_43DAY_ITINERARY_FEASIBILITY_AUDIT.md,22,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,AX01_AIX_RECONSOLIDATION_QA.md,20,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,NC01F-INTEGRATE_NICE_MAIN_RECONCILIATION.md,15,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,EX06_AVIGNON_PONT_DU_GARD_ARLES_EXECUTION_SYNC_QA.md,15,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,EX04_AIX_MARSEILLE_EXECUTION_SYNC_QA.md,15,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,EX05_LUBERON_DRIVING_EXECUTION_SYNC_QA.md,13,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,NC01F_NICE_FINAL_FACTUAL_RECONCILIATION.md,12,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,FCR03_SCHEDULE_FOOD_LINK_AUDIT.csv,12,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,REGION_CONTENT_AUDIT.md,10,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,NC01_NICE_REGION_CONSOLIDATION_QA.md,6,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,FCR06_66_MEAL_SLOT_CLOSURE_QA.md,6,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,FCR03_MARKET_AUDIT.csv,5,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,TR01_CRITICAL_TRANSFER_GUIDANCE_AND_ROUTE_MAP_AUDIT.md,4,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,MP01_FINAL_BASELINE_SNAPSHOT.md,4,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,LY01F-INTEGRATE_LYON_MAIN_RECONCILIATION.md,4,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,FCR06_TRAVEL_DAY_MEAL_AUDIT.csv,3,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,LY01_LYON_RECONSOLIDATION_QA.md,2,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,FCR04_DAY_SOT_CORRECTIONS_QA.md,2,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,FCR02C_FULL_MIGRATION_QA.md,2,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,PA01_PARIS_REGION_CONSOLIDATION_QA.md,1,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,MP01C_TRANSPORT_STOP_AUDIT.csv,1,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,MP01C_ROUTE_SEGMENT_AUDIT.csv,1,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
P0,FCR09_EDITORIAL_READINESS_QA.md,1,과거 감사 기록,archive,수정 금지 — superseded.json 에 등재
