id	region	city	rank	publisher	official	year	license	filename	url
01	barcelona	Barcelona	primary	Turisme de Barcelona	official	2025	상업이용 금지 (명시)	01_barcelona_city-map-2025.jpg	https://www.barcelonaturisme.com/uploads/web/cartografia/Barcelona_Map_copyright_Turisme_de_Barcelona_2025.jpg
02	barcelona	Sitges	primary	Agencia de Promocio Turisme de Sitges	official	2024-06	미확인	02_sitges_planol-2024-front.jpg	https://www.sitgesanytime.com/media/site1/cache/images/planol-sitges-ed062024.jpg
03	barcelona	Sitges	primary	Agencia de Promocio Turisme de Sitges	official	2024-06	미확인	03_sitges_planol-2024-back.jpg	https://www.sitgesanytime.com/media/site1/cache/images/planol-sitges-ed062024-2.jpg
04	girona	Collioure	primary	Office de Tourisme de Collioure	official	2024	미확인	04_collioure_plan-2024-numbered.pdf	https://www.tourisme-collioure.com/app/uploads/2024/05/plan-collioure-2024.pdf
05	girona	Collioure	alt	Office de Tourisme de Collioure	official	2026	미확인	05_collioure_plan-2026.pdf	https://cdt66.media.tourinsoft.eu/upload/FD-Plan-de-Collioure2026.pdf
06	girona	Collioure	alt	Office de Tourisme de Collioure	official	2020	미확인	06_collioure_balades.pdf	https://www.tourisme-collioure.com/app/uploads/2024/09/brochures-le-plan-du-village-et-les-balades-collioure.pdf
07	girona	Cadaques	primary	Ajuntament de Cadaques	official	미상	미확인	07_cadaques_mapa.pdf	https://docs.gestionaweb.cat/1155/mapa-cadaques.pdf
08	girona	Tossa de Mar	primary	Oficina de Turisme de Tossa de Mar	official	2024-05	미확인	08_tossa_planol-2024.pdf	https://visittossa.com/wp-content/uploads/2024/05/pla%CC%80nol-tossa-baixa_actualitzat-27-05-24.pdf
09	girona	Tossa de Mar	alt	Oficina de Turisme de Tossa de Mar	official	미상	미확인	09_tossa_itineraris.pdf	https://visittossa.com/wp-content/uploads/2022/02/Fulleto_CATALA.pdf
10	girona	Pals	primary	Oficina de Turisme de Pals	official	미상	미확인	10_pals_planol.pdf	https://docs.hoobaweb.com/1333/planol-impressio-1.pdf
11	girona	Peratallada	primary	Ajuntament de Forallac	official	미상	미확인	11_peratallada_planol-forallac.pdf	https://www.visitperatallada.cat/pujades/files/planol_Forallac.pdf
12	girona	Emporda 광역	primary	Consell Comarcal de l Alt Emporda	official	2017-10	Drets reservats	12_emporda_planol-2017.pdf	https://www.altemporda.org/portal/attachments/article/4511/Planol%20Emporda.pdf
13	girona	Costa Brava 전역	primary	Patronat de Turisme Costa Brava Girona	official	2026	미확인	13_costabrava_mapa-2026.pdf	https://b2b.costabrava.org/wp-content/uploads/2025/11/MapaDesplegableGeneric.pdf
14	nice	Nice	primary	OT Metropolitain Nice Cote d Azur	official	2026	출처명기시 무료배포 허용	14_nice_plan-2026.pdf	https://www.explorenicecotedazur.com/app/uploads/2026/03/nice-plan-bloc-2026.pdf
