id	city	filename	status	bytes	kind	url
01	Barcelona	01_barcelona_city-map-2025.jpg	OK	27101344	image/jpeg	https://www.barcelonaturisme.com/uploads/web/cartografia/Barcelona_Map_copyright_Turisme_de_Barcelona_2025.jpg
02	Sitges	02_sitges_planol-2024-front.jpg	OK	980650	image/jpeg	https://www.sitgesanytime.com/media/site1/cache/images/planol-sitges-ed062024.jpg
03	Sitges	03_sitges_planol-2024-back.jpg	OK	1254650	image/jpeg	https://www.sitgesanytime.com/media/site1/cache/images/planol-sitges-ed062024-2.jpg
04	Collioure	04_collioure_plan-2024-numbered.pdf	OK	721175	application/pdf	https://www.tourisme-collioure.com/app/uploads/2024/05/plan-collioure-2024.pdf
05	Collioure	05_collioure_plan-2026.pdf	OK	510541	application/pdf	https://cdt66.media.tourinsoft.eu/upload/FD-Plan-de-Collioure2026.pdf
06	Collioure	06_collioure_balades.pdf	OK	2986358	application/pdf	https://www.tourisme-collioure.com/app/uploads/2024/09/brochures-le-plan-du-village-et-les-balades-collioure.pdf
07	Cadaques	07_cadaques_mapa.pdf	OK	510149	application/pdf	https://docs.gestionaweb.cat/1155/mapa-cadaques.pdf
08	Tossa de Mar	08_tossa_planol-2024.pdf	OK	1874859	application/pdf	https://visittossa.com/wp-content/uploads/2024/05/pla%CC%80nol-tossa-baixa_actualitzat-27-05-24.pdf
09	Tossa de Mar	09_tossa_itineraris.pdf	OK	720942	application/pdf	https://visittossa.com/wp-content/uploads/2022/02/Fulleto_CATALA.pdf
10	Pals	10_pals_planol.pdf	OK	5639584	application/pdf	https://docs.hoobaweb.com/1333/planol-impressio-1.pdf
11	Peratallada	11_peratallada_planol-forallac.pdf	OK	708181	application/pdf	https://www.visitperatallada.cat/pujades/files/planol_Forallac.pdf
12	Emporda 광역	12_emporda_planol-2017.pdf	OK	11109086	application/pdf	https://www.altemporda.org/portal/attachments/article/4511/Planol%20Emporda.pdf
13	Costa Brava 전역	13_costabrava_mapa-2026.pdf	OK	6707321	application/pdf	https://b2b.costabrava.org/wp-content/uploads/2025/11/MapaDesplegableGeneric.pdf
14	Nice	14_nice_plan-2026.pdf	OK	8295446	application/pdf	https://www.explorenicecotedazur.com/app/uploads/2026/03/nice-plan-bloc-2026.pdf
15	Antibes	15_antibes_plan-2024.pdf	OK	6628666	application/pdf	https://www.antibesjuanlespins.com/sites/antibes/files/brochures/files/plan_carte_2024-bd.pdf
16	Cannes	16_cannes_plan-sousmain-2025.pdf	OK	21578815	application/pdf	https://www.cannes-france.com/app/uploads/cannes-tourisme/2025/06/Plan_Cannes_sousmain_480x335mm_v5_vHD.pdf
17	Cannes	17_cannes_plan-pedestre.pdf	OK	6603388	application/pdf	https://www.cannes-france.com/app/uploads/cannes-tourisme/2024/01/PLAN-PEDESTRE-2023.pdf
18	Monaco	18_monaco_plan-officiel-2022.pdf	OK	6540983	application/pdf	https://www.monacotourismexpert.com/wp-content/uploads/2023/07/202209-Plan_Official_Monaco_29sept22.pdf
19	Villefranche-sur-Mer	19_villefranche_plan-2026.pdf	OK	18928308	application/pdf	https://www.explorenicecotedazur.com/app/uploads/2026/02/plan-2026-recto-verso-hd.pdf
20	Eze	20_eze_plan-2026.pdf	OK	6137034	application/pdf	https://www.explorenicecotedazur.com/app/uploads/2026/02/fr-en-it-eze-plan.pdf
21	Eze	21_eze_guide-pratique.pdf	OK	15167835	application/pdf	https://www.explorenicecotedazur.com/app/uploads/2026/02/fr-en-it-eze-guide-pratique-compressed.pdf
22	Riviera 광역	22_riviera_guide-2026.pdf	OK	9486836	application/pdf	https://www.explorenicecotedazur.com/app/uploads/2026/03/otm-guide-pratique-20x20cm-en-v2-page-a-page-1.pdf
23	Aix-en-Provence	23_aix_plan-sousmain-periph.pdf	OK	3012633	application/pdf	https://www.aixenprovencetourism.com/wp-content/ressources/maps/plan-sousmain-aix-periph-fr.pdf
24	Aix 광역 Pays d Aix	24_aix_paysdaix-simplifie.pdf	OK	198846	application/pdf	https://www.aixenprovencetourism.com/wp-content/ressources/maps/plan-paysdaix-simplifie-fr.pdf
25	Aix Plan Guide	25_aix_plan-guide-full.pdf	OK	8380574	application/pdf	https://www.ville-greasque.fr/wp-content/uploads/2019/01/Plan-Guide-Aix-en-Provence.pdf
26	Marseille	26_marseille_carte-touristique-2026.pdf	OK	931407	application/pdf	https://www.rtm.fr/sites/default/files/docs/carte_touristique_202603%207.pdf
27	Marseille	27_marseille_plan-omtcm-2022.pdf	OK	17771835	application/pdf	https://www.marseille-tourisme.com/app/uploads/marseille-tourisme/2022/07/Plan-de-Marseille-%C2%A9OMTCM.pdf
28	Cassis	28_cassis_plan.pdf	OK	3159887	application/pdf	https://www.marseilletourisme.fr/media/filer_public/2019/03/06/plan-cassis.pdf
29	Cassis	29_cassis_documentation-5lang.pdf	OK	8769301	application/pdf	https://reservation.ot-cassis.com/medias/documents/documentation/documentation-PLAN18-FR.pdf
30	Vaucluse 광역	30_vaucluse_carte-touristique.pdf	OK	33616088	application/pdf	https://www.sud-luberon-tourisme.fr/wp-content/uploads/2021/07/carte-touristique-du-vaucluse.pdf
31	Destination Luberon	31_luberon_carte-destination.pdf	OK	6959166	application/pdf	https://www.sud-luberon-tourisme.fr/wp-content/uploads/2021/07/carte-destination-Luberon2.pdf
32	Gordes	32_gordes_plan.pdf	OK	2207589	application/pdf	https://www.veloloisirprovence.com/fichier/Plan%20de%20Gordes-654.pdf
33	Roussillon	33_roussillon_plan.pdf	FAIL	0	-	https://otroussillon.pagesperso-orange.fr/roussillon.pdf
34	L Isle-sur-la-Sorgue	34_isle-sur-sorgue_plan-2026.pdf	OK	10068034	application/pdf	https://uk.islesurlasorguetourisme.com/fichier/download-1491.pdf
35	Avignon Intra-Muros	35_avignon_carte-intra.pdf	OK	1980500	application/pdf	https://www.avignon.fr/fileadmin/Documents/arch_documents/Documents/Documents/Interne/interne/interne/image_08_et_09_2019/document_interne08_et_09_2019/Carte_intra.pdf
36	Avignon 광역	36_avignon_votre-destination-2025.pdf	OK	7447285	application/pdf	https://avignon-tourisme.com/app/uploads/avignon/2025/02/Avignon-Votre-Destination-2025.pdf
37	Arles	37_arles_plan.pdf	OK	3760344	application/pdf	https://www.arlestourisme.com/assets/pdf/organiser/plan_arles.pdf
38	Nimes	38_nimes_plan-a3-2026.pdf	OK	2236090	application/pdf	https://nimes-tourisme.com/app/uploads/2026/02/Plan-A3_Nimes-2026_web.pdf
39	Nimes	39_nimes_plan-touristique-2026-GB.pdf	OK	3942312	application/pdf	https://nimes-tourisme.com/app/uploads/2026/04/plan-touristique-2026-GB.pdf
40	Saint-Remy-de-Provence	40_saint-remy_plan-2025.pdf	OK	6771477	application/pdf	https://static.alpillesenprovence.com/wp-content/uploads/2025/03/plan-de-ville-saint-remy-2025-compressed.pdf
41	Les Baux-de-Provence	41_les-baux_plan-2026.pdf	OK	959274	application/pdf	https://www.lesbauxdeprovence.com/wp-content/uploads/2026/08/Plan_Baux-de-Provence_FR_EN.pdf
42	Alpilles 광역	42_alpilles_map-region-EN.pdf	OK	14814772	application/pdf	https://www.lesbauxdeprovence.com/wp-content/uploads/2022/05/Map-les-Alpilles-and-the-region.pdf
43	Pont du Gard	43_pont-du-gard_plan-du-site.pdf	OK	1158952	application/pdf	https://pontdugard.fr/sites/default/files/2024-01/Plan%20du%20site_0.pdf
44	Provence 광역 TOP28	44_provence_top28.pdf	OK	2196296	application/pdf	https://provence-alpes-cotedazur.com/app/uploads/crt-paca/2020/07/carte-top28-fr-2019-1.pdf
45	Lyon 시내	45_lyon_plan-ville.pdf	OK	3239841	application/pdf	https://www.visiterlyon.com/content/download/7501/179129?version=21
46	Lyon UNESCO	46_lyon_unesco.pdf	OK	6530447	application/pdf	https://www.visiterlyon.com/content/download/7502/179135?version=15
47	Lyon 트라불 목록	47_lyon_traboules-liste.pdf	OK	2008501	application/pdf	https://www.visiterlyon.com/content/download/46625/1016226?version=1
48	Annecy 호수	48_annecy_tour-du-lac.pdf	OK	6232900	application/pdf	https://static.apidae-tourisme.com/filestore/objets-touristiques/documents/60/82/10048060/Carte+touristique+tour+du+lac+dAnnecy.pdf
49	Paris Secteur	49_paris_secteur-plan03.pdf	OK	5740596	application/pdf	https://eu.ftp.opendatasoft.com/stif/PlansDeSecteur/Plans/plan03.pdf
50	Versailles 시내	50_versailles_plan-touristique-2024.pdf	OK	2807185	application/pdf	https://www.versailles-tourisme.com/medias/documents/documentation/documentation-24PLAN-FR.pdf
51	Giverny Vernon	51_giverny_carnet-de-cartes.pdf	OK	3776665	application/pdf	https://www.nouvelle-normandie-tourisme.com/wp-content/uploads/2021/09/www.nouvelle-normandie-tourisme.com-2021-carnet-de-cartes.pdf
