region,placeId,fact_key,confidence,source,verified_at,phone,blocked_reason
aix,atelier-des-lauves,closed,official,https://www.aixenprovencetourism.com/fr/fiche/atelier-de-cezanne-5538099,2026-08-17,+33 4 42 91 95 30,
aix,atelier-des-lauves-atelier-de-cezanne,closed,official,https://www.aixenprovencetourism.com/fr/fiche/atelier-de-cezanne-5538099,2026-08-17,+33 4 42 91 95 30,
aix,atelier-des-lauves-atelier-de-cezanne,hours,official,https://www.aixenprovencetourism.com/fr/fiche/atelier-de-cezanne-5538099,2026-08-17,+33 4 42 91 95 30,
aix,atelier-des-lauves-atelier-de-cezanne,booking,official,https://www.cezanne-en-provence.com/les-sites-de-cezanne/atelier-des-lauves/,2026-08-17,+33 4 42 91 95 30,
aix,bastide-du-jas-de-bouffan,closed,official,https://www.aixenprovencetourism.com/fr/fiche/bastide-du-jas-de-bouffan-5538713/,2026-08-17,+33 4 42 91 94 30,
aix,bastide-du-jas-de-bouffan,hours,official,https://www.aixenprovencetourism.com/fr/fiche/bastide-du-jas-de-bouffan-5538713/,2026-08-17,+33 4 42 91 94 30,
aix,bastide-du-jas-de-bouffan,booking,official,https://www.aixenprovencetourism.com/fr/fiche/bastide-du-jas-de-bouffan-5538713/,2026-08-17,+33 4 42 91 94 30,
aix,cassis,closed,unverified,https://www.ot-cassis.com/l-office.html,2026-08-17,+33 4 28 01 01 03,
aix,cours-mirabeau-4,closed,official,https://www.aixenprovencetourism.com/fr/fiche/le-cours-mirabeau-5538184/,2026-08-17,,
aix,cours-mirabeau-4,hours,official,https://www.aixenprovencetourism.com/fr/fiche/le-cours-mirabeau-5538184/,2026-08-17,,
aix,cours-mirabeau-4,booking,official,https://www.aixenprovencetourism.com/fr/fiche/le-cours-mirabeau-5538184/,2026-08-17,,
aix,fort-saint-jean,closed,official,https://www.mucem.org/infos-pratiques,2026-08-17,+33 4 84 35 13 13,
aix,fort-saint-jean,hours,official,https://www.mucem.org/infos-pratiques,2026-08-17,+33 4 84 35 13 13,
aix,fort-saint-jean,booking,official,https://www.mucem.org/infos-pratiques,2026-08-17,+33 4 84 35 13 13,
aix,le-panier,closed,unverified,https://www.marseille-tourisme.com/en/discover-marseille/culture-heritage/the-districts-of-marseille/the-panier-district/,2026-08-17,,
aix,le-panier,hours,unverified,https://www.marseille-tourisme.com/en/discover-marseille/culture-heritage/the-districts-of-marseille/the-panier-district/,2026-08-17,,
aix,le-panier,booking,unverified,https://www.marseille-tourisme.com/en/discover-marseille/culture-heritage/the-districts-of-marseille/the-panier-district/,2026-08-17,,
aix,marseille,closed,official,https://www.mucem.org/infos-pratiques,2026-08-17,+33 4 84 35 13 13,
aix,marseille,hours,official,https://www.marseille-tourisme.com/en/discover-marseille/culture-heritage/discover-the-sites-and-monuments-in-marseille/the-old-port/,2026-08-17,+33 826 500 500,
aix,marseille,booking,official,https://www.mucem.org/infos-pratiques,2026-08-17,+33 4 84 35 13 13,
aix,montagne-sainte-victoire-terrain-des-peintres,closed,unverified,,2026-08-17,,
aix,montagne-sainte-victoire-terrain-des-peintres,hours,unverified,,2026-08-17,,
aix,montagne-sainte-victoire-terrain-des-peintres,booking,unverified,,2026-08-17,,
aix,mucem,hours,official,https://www.mucem.org/infos-pratiques,2026-08-17,+33 4 84 35 13 13,
aix,mucem,booking,official,https://www.mucem.org/infos-pratiques,2026-08-17,+33 4 84 35 13 13,
aix,musee-granet,booking,official,https://www.museegranet-aixenprovence.fr/infos-pratiques,2026-08-17,+33 4 42 52 88 32,
aix,musee-granet,closed,official,https://www.museegranet-aixenprovence.fr/infos-pratiques,2026-08-17,+33 4 42 52 88 32,
aix,piscine-yves-blanc,closed,official,https://www.aixenprovencetourism.com/fr/fiche/piscine-yves-blanc-5517994/,2026-08-17,+33 4 65 48 87 80,
aix,place-richelme-place-des-precheurs,closed,official,https://www.aixenprovencetourism.com/fr/fiche/le-marche-aux-fruits-et-legumes-d-aix-en-provence-5466992/,2026-08-17,,
aix,place-richelme-place-des-precheurs,booking,official,https://www.aixenprovencetourism.com/fr/fiche/le-marche-aux-fruits-et-legumes-d-aix-en-provence-5466992/,2026-08-17,,
aix,quartier-mazarin,closed,official,https://www.aixenprovencetourism.com/fr/fiche/le-quartier-mazarin-5537915/,2026-08-17,,
aix,quartier-mazarin,hours,official,https://www.aixenprovencetourism.com/fr/fiche/le-quartier-mazarin-5537915/,2026-08-17,,
aix,quartier-mazarin,booking,official,https://www.aixenprovencetourism.com/fr/fiche/le-quartier-mazarin-5537915/,2026-08-17,,
aix,rtm-lecar,closed,unreachable,https://www.lecaraixmarseille.com/ligne-50,2026-08-17,,
aix,saint-paul-de-vence,closed,official,https://www.saint-pauldevence.com/en/practical-information/,2026-08-17,+33 4 93 32 86 95,
aix,saint-paul-de-vence,hours,official,https://www.saint-pauldevence.com/en/practical-information/,2026-08-17,+33 4 93 32 86 95,
aix,saint-paul-de-vence,booking,official,https://www.saint-pauldevence.com/en/practical-information/,2026-08-17,+33 4 93 32 86 95,
aix,saint-paul-de-vence-fondation-maeght,closed,official,https://www.fondation-maeght.com/infos-pratiques/?lang=fr,2026-08-17,+33 4 93 32 81 63,
aix,saint-paul-de-vence-fondation-maeght,hours,official,https://www.fondation-maeght.com/infos-pratiques/?lang=fr,2026-08-17,+33 4 93 32 81 63,
aix,saint-paul-de-vence-fondation-maeght,booking,official,https://www.fondation-maeght.com/infos-pratiques/?lang=fr,2026-08-17,+33 4 93 32 81 63,
