slug,name,verdict,recommended_query,resolved_name,resolved_address,evidence_url,note
arles,Arles,FOUND,"Arles, France",Arles,"13200 Arles",https://en.wikipedia.org/wiki/Arles,"city_hint 오류(Avignon). 좌표 없음"
arenes-d-arles,Arènes d’Arles,FOUND,"Arènes d'Arles, Arles",Amphithéâtre romain d'Arles,"1 Rond-Point des Arènes, 13200 Arles",https://www.arlestourisme.com/en/arenas-amphitheatre.html,"좌표 정확. city_hint 오류"
carrieres-des-lumieres,Carrières des Lumières,FOUND,"Carrières des Lumières, Les Baux-de-Provence",Carrières des Lumières,"Route de Maillane, 13520 Les Baux-de-Provence",https://www.carrieres-lumieres.com/en/information-access,"좌표 없음. city_hint 오류"
cloitre-saint-trophime,Cloître Saint-Trophime,FOUND,"Cloître Saint-Trophime, Arles",Cloître Saint-Trophime,"Place de la République, 13200 Arles",https://www.arlestourisme.com/en/saint-trophime-cloister.html,"city_hint 오류(실제 Arles)"
fondation-vincent-van-gogh-arles,Fondation Vincent van Gogh Arles,FOUND,"Fondation Vincent van Gogh Arles, Arles",Fondation Vincent van Gogh Arles,"35 ter rue du Docteur Fanton, 13200 Arles",https://www.fondation-vincentvangogh-arles.org/en/visit-us/,"좌표 없음. city_hint 오류"
fou-de-fafa-avignon,Fou de Fafa,FOUND,"Fou de Fafa, 17 rue des Trois Faucons, Avignon",Restaurant Fou de Fafa,"17 rue des Trois Faucons, 84000 Avignon",https://www.restaurantfoudefafa.com/contact,"좌표 오류 — 숙소 좌표 복사. 저녁만·화수 휴무"
glanum,Glanum,FOUND,"Site archéologique de Glanum, Saint-Rémy-de-Provence",Site archéologique de Glanum,"Route des Baux-de-Provence, 13210 Saint-Rémy-de-Provence",https://www.site-glanum.fr/,"좌표 없음. city_hint 오류"
la-roquette,La Roquette,AMBIGUOUS,,Quartier de la Roquette (Arles),"13200 Arles",https://fr.wikipedia.org/wiki/La_Roquette_(quartier_d%27Arles),"면 단위. 동명 지명 다수. 앵커로 Église Saint-Césaire 권장"
CLOCHER-HOTEL,La Terrasse du Clocher (후보),NOT_FOUND,,Les Appartements du Clocher / Hôtel le Magnan,"Quartier des Carmes, 84000 Avignon",https://en.hotel-magnan.com/appartement-la-terrasse-du-clocher,"임대 아파트 상품명 — 구글맵 단독 핀 없음. 미확정 숙소"
le-gibolin-arles,Le Gibolin,FOUND,"Le Gibolin, 13 rue des Porcelets, Arles",Le Gibolin,"13 rue des Porcelets, 13200 Arles",https://guide.michelin.com/us/en/provence-alpes-cote-dazur/arles/restaurant/le-gibolin,"전화 예약만. city_hint 오류"
les-baux-de-provence,Les Baux-de-Provence,FOUND,"Les Baux-de-Provence, France",Les Baux-de-Provence,"13520 Les Baux-de-Provence",https://en.wikipedia.org/wiki/Les_Baux-de-Provence,"좌표 없음. city_hint 오류"
les-cocottes-saint-louis,Les Cocottes Saint-Louis,FOUND,"Les Cocottes Saint Louis, 20 rue du Portail Boquier, Avignon",Les Cocottes Saint Louis,"20 rue du Portail Boquier, 84000 Avignon",https://www.hotel-cloitre-saintlouis-avignon.fr/fr/restauration/les-cocottes-saintlouis,"좌표 오류 — 숙소 좌표 복사"
les-halles,Les Halles,FOUND,"Les Halles d'Avignon, Place Pie, Avignon",Les Halles d'Avignon,"18 Place Pie, 84000 Avignon",https://fr.wikipedia.org/wiki/Halles_d%27Avignon,"'Les Halles' 단독은 파리·리옹과 충돌. 좌표 약 400m 오차"
palais-des-papes,Palais des Papes,FOUND,"Palais des Papes, Avignon",Palais des Papes,"Place du Palais, 84000 Avignon",https://en.wikipedia.org/wiki/Palais_des_Papes,"좌표 약 700m 오차 — 정정 필요"
place-du-forum-arles,Place du Forum,FOUND,"Place du Forum, Arles",Place du Forum,"Place du Forum, 13200 Arles",https://www.tripadvisor.com/,"좌표 없음. 'Arles' 필수 — 동명 다수"
pont-saint-benezet,Pont Saint-Bénézet,FOUND,"Pont Saint-Bénézet, Avignon",Pont Saint-Bénézet,"Boulevard de la Ligne, 84000 Avignon",https://en.wikipedia.org/wiki/Pont_Saint-B%C3%A9n%C3%A9zet,좌표 대체로 일치
pont-du-gard,Pont du Gard,FOUND,"Pont du Gard, Vers-Pont-du-Gard",Site du Pont du Gard,"400 Route du Pont du Gard, 30210 Vers-Pont-du-Gard",https://en.wikipedia.org/wiki/Pont_du_Gard,"좌표 정확. city_hint 오류"
rocher-des-doms,Rocher des Doms,FOUND,"Jardin du Rocher des Doms, Avignon",Jardin du Rocher des Doms,"Place du Palais, 84000 Avignon",https://avignon-tourisme.com/,좌표 대체로 일치
saint-paul-de-mausole,Saint-Paul-de-Mausole,FOUND,"Monastère Saint-Paul de Mausole, Saint-Rémy-de-Provence",Monastère Saint-Paul de Mausole,"Chemin Saint-Paul, 13210 Saint-Rémy-de-Provence",https://www.saintpauldemausole.fr/,"좌표 없음. city_hint 오류"
saint-remy-de-provence,Saint-Rémy-de-Provence,FOUND,"Saint-Rémy-de-Provence, France",Saint-Rémy-de-Provence,"13210 Saint-Rémy-de-Provence",https://en.wikipedia.org/wiki/Saint-R%C3%A9my-de-Provence,"좌표 없음. city_hint 오류"
theatre-antique-arles,Théâtre antique,FOUND,"Théâtre Antique d'Arles, Arles",Théâtre antique d'Arles,"Rue du Cloître, 13200 Arles",https://www.arlestourisme.com/en/roman-theatre.html,"'d'Arles' 필수 — 오랑주·리옹과 충돌"
uzes,Uzès Place aux Herbes·구시가지,FOUND,"Place aux Herbes, Uzès",Place aux Herbes,"Place aux Herbes, 30700 Uzès",https://www.tripadvisor.com/,"좌표 정확. city_hint 오류. 시장 수·토 오전"
