placeId,fact_key,status,priority,last_attempt,blocked_reason,phone,source_hint,region,grade,displayName,days
abbaye-de-senanque,closed,FRESH,P0,2026-08-23,,04 90 72 18 24,https://www.senanque.fr/visite-de-labbaye/,luberon,essential,Abbaye de Sénanque,18
abbaye-de-senanque,hours,FRESH,P0,2026-08-23,,04 90 72 18 24,https://www.senanque.fr/visite-de-labbaye/,luberon,essential,Abbaye de Sénanque,18
abbaye-de-senanque,booking,FRESH,P0,2026-08-23,,04 90 72 18 24,https://www.senanque.fr/visite-de-labbaye/,luberon,essential,Abbaye de Sénanque,18
abbaye-de-senanque,price_adult,FRESH,P1,2026-08-23,,04 90 72 18 24,https://www.senanque.fr/visite-de-labbaye/,luberon,essential,Abbaye de Sénanque,18
abbaye-de-senanque,getting_there,MISSING,P1,,,04 90 72 18 24,,luberon,essential,Abbaye de Sénanque,18
abbaye-de-senanque,duration,MISSING,P2,,,04 90 72 18 24,,luberon,essential,Abbaye de Sénanque,18
acchiardo,closed,FRESH,P0,2026-08-16,,,2026-08-16 확정 원장 (공식 소스 검증 완료),nice,none,Acchiardo,8
acchiardo,hours,FRESH,P2,2026-08-16,,,2026-08-16 확정 원장 (공식 소스 검증 완료),nice,none,Acchiardo,8
acchiardo,booking,MISSING,P2,,,,,nice,none,Acchiardo,8
acchiardo,price_adult,MISSING,P2,,,,,nice,none,Acchiardo,8
aerobus,closed,FRESH,P0,2026-08-17,,+34 900 92 96 92,https://aerobusbarcelona.es/trip/lines-timetables-and-real-time-information/?lang=en,barcelona,none,Aerobús,
aerobus,hours,STALE,P2,,,+34 900 92 96 92,,barcelona,none,Aerobús,
aerobus,booking,MISSING,P2,,,+34 900 92 96 92,,barcelona,none,Aerobús,
aerobus,price_adult,BLOCKED,P2,2026-08-16,공식 페이지 판독 실패 · 3자 출처 €7.45 는 미확정 — pending 유지,+34 900 92 96 92,2026-08-16 확정 원장 (공식 소스 검증 완료),barcelona,none,Aerobús,
