url,disposition,target,note
"# 기준 커밋 c274d42 · 2026-08-06 생성 · 원칙: URL 변경 시 반드시 redirect 행 추가, 삭제 금지",,,
/about/photo-credits.html,keep,,현행 유지
/chapters/01.html,redirect,how-to-use.html,
/chapters/02.html,redirect,highlights.html,
/chapters/03.html,redirect,itinerary.html,
/chapters/04.html,redirect,barcelona/index.html,
/chapters/05.html,redirect,girona/index.html,
/chapters/06.html,redirect,nice/index.html,
/chapters/07.html,redirect,aix/index.html,
/chapters/08.html,redirect,luberon/index.html,
/chapters/09.html,redirect,avignon/index.html,
/chapters/10.html,redirect,lyon/index.html,
/chapters/11.html,redirect,paris/index.html,
/chapters/aix/about.html,keep,,현행 유지
/chapters/aix/booking.html,keep,,현행 유지
/chapters/aix/cost.html,keep,,현행 유지
/chapters/aix/day-12.html,redirect,../../daily/day-12.html,
/chapters/aix/day-13.html,redirect,../../daily/day-13.html,
/chapters/aix/day-14.html,redirect,../../daily/day-14.html,
/chapters/aix/day-15.html,redirect,../../daily/day-15.html,
/chapters/aix/day-16.html,redirect,../../daily/day-16.html,
/chapters/aix/food.html,keep,,현행 유지
/chapters/aix/index.html,keep,,현행 유지
/chapters/aix/places.html,keep,,현행 유지
/chapters/aix/schedule.html,keep,,현행 유지
/chapters/aix/sources.html,keep,,현행 유지
/chapters/aix/stay.html,keep,,현행 유지
/chapters/aix/tips.html,keep,,현행 유지
/chapters/aix/transport.html,keep,,현행 유지
/chapters/avignon/about.html,keep,,현행 유지
/chapters/avignon/booking.html,keep,,현행 유지
/chapters/avignon/cost.html,keep,,현행 유지
/chapters/avignon/day-19.html,redirect,../../daily/day-19.html,
/chapters/avignon/day-20.html,redirect,../../daily/day-20.html,
/chapters/avignon/day-21.html,redirect,../../daily/day-21.html,
/chapters/avignon/day-22.html,redirect,../../daily/day-22.html,
/chapters/avignon/day-23.html,redirect,../../daily/day-23.html,
/chapters/avignon/food.html,keep,,현행 유지
/chapters/avignon/index.html,keep,,현행 유지
/chapters/avignon/places.html,keep,,현행 유지
/chapters/avignon/schedule.html,keep,,현행 유지
/chapters/avignon/sources.html,keep,,현행 유지
/chapters/avignon/stay.html,keep,,현행 유지
