region,name,type,grade,grade_raw,days,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,X,X_high,unverified,weekday_conflict
barcelona,Sagrada Família,sight,essential,essential,Day 2,Y,Y,P,P,Y,N,Y,Y,Y,Y,,,,,,,,,,1,0,1,
barcelona,Sant Pau Recinte Modernista,sight,essential,essential,Day 2,Y,Y,P,Y,N,N,P,P,Y,Y,,,,,,,,,,0,0,0,
barcelona,Barri Gòtic,sight,essential,essential,Day 3,Y,Y,P,N,-,-,Y,-,Y,Y,,,,,,,,,,0,0,0,
barcelona,Biblioteca de Catalunya,sight,priority,priority,Day 3,Y,Y,Y,N,N,N,N,N,Y,P,,,,,,,,,,0,0,1,"미확인 — 8/31(월) 12:10 방문 예정, 공식 개관시간·일반 관람 가능 여부 미검증"
barcelona,MACBA,sight,optional,optional,Day 3,Y,Y,P,P,P,N,Y,P,Y,P,,,,,,,,,,2,0,0,
barcelona,Museu del Cau Ferrat,sight,essential,essential,Day 4,Y,Y,Y,Y,Y,Y,Y,P,Y,Y,,,,,,,,,,1,0,0,
barcelona,Museu de Maricel,sight,essential,essential,Day 4,Y,Y,Y,Y,Y,Y,Y,P,P,P,,,,,,,,,,0,0,0,
barcelona,Palau de Maricel,sight,priority,priority,Day 4,Y,Y,Y,P,N,N,P,N,P,P,,,,,,,,,,3,2,0,9/1(화) 충돌 — Palau de Maricel 가이드 투어는 9월~6월 일요일만 운영
barcelona,Sitges 구시가지,sight,optional,optional,Day 4,Y,Y,Y,Y,-,-,Y,-,Y,P,,,,,,,,,,1,0,0,
barcelona,Museu Picasso de Barcelona,sight,optional,optional,,N,Y,N,N,N,P,N,N,Y,N,,,,,,,,,,0,0,2,
barcelona,MNAC,sight,optional,optional,,N,Y,P,N,N,N,N,N,Y,N,,,,,,,,,,0,0,1,
barcelona,Fundació Joan Miró,sight,optional,optional,,N,Y,P,N,N,N,N,N,Y,N,,,,,,,,,,0,0,1,
barcelona,Disseny Hub Barcelona,sight,alternative,alternative,,N,P,P,N,N,N,N,N,Y,N,,,,,,,,,,0,0,1,미확인 — 우천 대체 발동일이 8/31(월)일 수 있음
barcelona,Llibreria Finestres,sight,priority,priority,Day 3,N,P,N,N,N,N,-,N,Y,P,,,,,,,,,,0,0,1,"미확인 — 8/31(월) 17:35 방문, 영업일·시간 미기재"
barcelona,La Central / Altaïr,sight,optional,optional,,N,N,N,N,N,N,-,N,Y,N,,,,,,,,,,0,0,0,
barcelona,Park Güell,sight,excluded,excluded,,N,P,N,N,N,N,N,N,N,N,,,,,,,,,,0,0,0,
barcelona,Casa Batlló·La Pedrera 유료입장,sight,excluded,excluded,,N,P,N,N,N,N,N,N,N,N,,,,,,,,,,0,0,0,
barcelona,Montjuïc 과밀 일정,sight,excluded,excluded,,N,P,N,N,N,N,N,N,N,N,,,,,,,,,,0,0,0,
barcelona,몬세라트 당일치기,sight,excluded,excluded,,N,P,N,N,N,N,N,N,N,N,,,,,,,,,,0,0,0,
barcelona,Sant Bartomeu 교회 (외관·언덕),sight,none,none,Day 4,N,P,Y,Y,-,-,-,-,Y,P,,,,,,,,,,0,0,0,
barcelona,Barcelona Cathedral (외관),sight,none,none,Day 3,N,N,P,Y,-,-,-,-,P,P,,,,,,,,,,0,0,1,
barcelona,Mies van der Rohe Pavilion (Pantalla Pavelló),sight,optional,optional,,N,P,N,N,P,N,N,N,N,N,,,,,,,,,,0,0,0,
barcelona,Barceloneta 해변·수영,sight,optional,optional,,N,P,P,P,N,N,-,N,P,P,,,,,,,,,,0,0,0,
barcelona,CEM Joan Miró,sight,priority,priority,Day 3,N,P,P,Y,Y,N,Y,P,P,P,,,,,,,,,,0,0,2,
barcelona,CN Atlètic-Barceloneta,sight,priority,priority,,N,P,P,P,N,N,Y,P,P,P,,,,,,,,,,0,0,1,
barcelona,DiR Claris,sight,none,none,,N,P,P,N,N,N,N,P,N,N,,,,,,,,,,0,0,0,
barcelona,Avinguda de Gaudí 산책 (사그라다↔산파우 축),walk,none,none,Day 2,Y,Y,Y,Y,-,-,-,-,Y,Y,,,,,,,,,,0,0,0,
barcelona,Gràcia 저녁 산책,walk,priority,priority,Day 2,N,Y,Y,P,-,-,-,-,Y,P,,,,,,,,,,0,0,0,
barcelona,고딕지구 핵심 산책 (Plaça del Rei–Carrer del Bisbe),walk,essential,essential,Day 3,Y,Y,Y,N,-,-,-,-,Y,Y,,,,,,,,,,0,0,0,
barcelona,시체스 2시간 30분 핵심 동선,walk,essential,essential,Day 4,Y,Y,Y,Y,-,-,-,-,Y,Y,,,,,,,,,,1,0,0,
barcelona,Passeig de Sant Joan–Ciutadella 러닝,walk,alternative,alternative,Day 3,N,Y,Y,P,-,-,-,-,Y,Y,,,,,,,,,,1,0,0,
barcelona,Passeig de la Ribera 산책,walk,optional,optional,Day 4,N,P,Y,Y,-,-,-,-,Y,P,,,,,,,,,,0,0,1,
barcelona,Mercat de la Concepció,market,priority,priority,Day 3,,,,,,,,,,,Y,Y,N,P,N,-,Y,P,Y,0,0,1,
barcelona,Mercat de la Boqueria,market,optional,optional,,,,,,,,,,,,Y,P,N,Y,N,-,P,N,Y,0,0,1,
barcelona,Mercat de Santa Caterina,market,alternative,alternative,,,,,,,,,,,,Y,P,P,P,N,-,N,N,P,0,0,1,미확인 — 8/31(월) 대체 점심 후보인데 월요일 영업 확정 서술 없음
barcelona,Mercat de Sant Antoni,market,none,none,,,,,,,,,,,,P,P,N,N,N,-,N,N,-,0,0,0,
barcelona,Bodega Joan,restaurant,priority,priority,Day 2;Day 3,,,,,,,,,,,Y,P,N,P,P,Y,Y,Y,P,0,0,2,"미확인 — 8/30(일) 19:30 이용 예정, 일요일 영업시간 미검증"
barcelona,La Paradeta Sagrada Família,restaurant,priority,priority,Day 2,,,,,,,,,,,Y,P,N,Y,P,Y,Y,Y,Y,1,0,0,
barcelona,Bar Cañete,restaurant,essential,essential,Day 3,,,,,,,,,,,Y,P,N,N,N,Y,Y,Y,P,0,0,2,"미확인 — 8/31(월) 13:20 확정 점심, 월요일 영업 여부 미검증 (P0)"
barcelona,La Zorra,restaurant,essential,essential,Day 4,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,0,0,2,
barcelona,El Castell de Sitges,restaurant,alternative,alternative,,,,,,,,,,,,Y,N,N,N,N,P,Y,Y,P,0,0,2,"미확인 — 9/1(화) 대체안, 화요일 영업 여부 미기재"
barcelona,La Masia Sitges,restaurant,excluded,excluded,,,,,,,,,,,,Y,N,N,P,Y,P,Y,Y,Y,0,0,1,
barcelona,Bar El Cable,restaurant,excluded,excluded,,,,,,,,,,,,P,N,N,P,N,N,Y,N,Y,0,0,1,
barcelona,Federal Café Gòtic,cafe,alternative,alternative,,,,,,,,,,,,Y,P,N,Y,P,Y,P,Y,Y,0,0,1,
barcelona,Three Marks Coffee — Ausiàs Marc,cafe,none,none,Day 2,,,,,,,,,,,Y,P,N,P,N,N,P,Y,P,0,0,1,"미확인 — 8/30(일) 16:10 이용 예정, 일요일 영업시간 미확정"
barcelona,Nomad Coffee — Passatge Sert,cafe,none,none,,,,,,,,,,,,Y,P,N,Y,Y,N,P,Y,-,0,0,1,
barcelona,Nomad Frutas Selectas,cafe,none,none,,,,,,,,,,,,Y,P,N,Y,P,N,P,P,-,0,0,0,
barcelona,Granja M. Viader,cafe,none,none,,,,,,,,,,,,Y,P,N,N,N,N,Y,P,-,0,0,1,
girona,Girona Cathedral,sight,essential,essential,Day 4,Y,Y,P,P,Y,N,Y,P,Y,Y,,,,,,,,,,0,0,1,
girona,성벽 (Passeig de la Muralla),walk,essential,essential,Day 4,N,Y,Y,P,Y,-,Y,-,Y,Y,,,,,,,,,,1,0,1,
girona,Call (유대인 지구),walk,priority,priority,Day 4,N,Y,Y,P,-,-,-,-,Y,Y,,,,,,,,,,0,0,1,
girona,Onyar 강변,walk,priority,priority,Day 4,Y,Y,Y,P,-,-,-,-,Y,Y,,,,,,,,,,0,0,0,
girona,유대사 박물관 (Museu d'Història dels Jueus),sight,optional,optional,Day 4,N,P,P,N,Y,P,Y,N,P,N,,,,,,,,,,0,0,1,
girona,Arab Baths,sight,optional,optional,Day 4,N,P,N,N,P,N,N,N,P,N,,,,,,,,,,0,0,1,
girona,콜리우르 시장 (수요일),market,essential,essential,Day 5,,,,,,,,,,,Y,Y,Y,Y,-,-,Y,N,Y,0,0,0,
girona,Château Royal de Collioure,sight,essential,essential,Day 5,P,Y,Y,P,Y,Y,Y,P,Y,Y,,,,,,,,,,0,0,0,
girona,Chemin du Fauvisme,walk,essential,essential,Day 5,N,Y,Y,P,-,-,Y,-,Y,Y,,,,,,,,,,0,0,2,
girona,Cadaqués,sight,none,none,Day 5,Y,P,P,P,-,-,-,-,Y,P,,,,,,,,,,0,0,0,
girona,Peralada (Museu del Castell + 마을),sight,excluded,excluded,Day 5,N,Y,P,P,Y,Y,N,P,Y,P,,,,,,,,,,1,1,1,
girona,Pals,sight,priority,priority,Day 6,N,Y,P,P,N,N,N,-,Y,Y,,,,,,,,,,1,1,0,9/3(목) 15:20–16:10 방문 계획이 원장의 시간의 탑 점심 휴관대(14:30–17:00)와 전면 겹침 — 탑 등정 불가. 요일(목)은 개방 요일(수–일)이나 시간대가 충돌
girona,Peratallada,sight,essential,essential,Day 6,Y,Y,P,Y,-,-,-,-,Y,Y,,,,,,,,,,1,1,0,
girona,Calella de Palafrugell,sight,alternative,alternative,Day 6,Y,Y,P,P,-,-,-,-,Y,Y,,,,,,,,,,1,1,1,
girona,Tossa de Mar,sight,none,none,Day 6,Y,N,N,P,N,N,N,-,Y,P,,,,,,,,,,1,0,0,
girona,Sant Feliu de Guíxols,sight,none,none,Day 6,Y,N,N,P,-,-,-,-,Y,N,,,,,,,,,,0,0,0,
girona,Girona History Museum,sight,optional,optional,Day 6,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,0,0,0,
girona,Bòlit 현대미술 전시 (La Rambla·Pou Rodó·Sant Nicolau),sight,optional,optional,Day 6,N,P,P,N,P,N,N,N,N,N,,,,,,,,,,0,0,1,
girona,Púbol (Castell Gala Dalí),sight,alternative,alternative,,N,Y,Y,P,N,N,N,N,Y,N,,,,,,,,,,0,0,1,
girona,Empúries 유적,sight,alternative,alternative,,N,Y,Y,Y,N,N,P,N,Y,P,,,,,,,,,,0,0,1,
girona,Figueres — 달리 극장미술관,sight,alternative,alternative,,N,Y,P,P,N,N,P,P,Y,N,,,,,,,,,,1,0,0,
girona,Ullastret (MAC-Ullastret),sight,alternative,alternative,,N,P,Y,Y,Y,Y,N,N,N,N,,,,,,,,,,0,0,1,
girona,Portlligat (달리의 집),sight,alternative,alternative,,N,P,Y,P,N,N,N,Y,N,N,,,,,,,,,,0,0,0,
girona,Cap de Creus,sight,alternative,alternative,,N,P,P,N,-,-,-,-,N,N,,,,,,,,,,0,0,0,
girona,Besalú,sight,alternative,alternative,,N,P,N,N,-,-,-,-,N,N,,,,,,,,,,0,0,0,
girona,Banyoles,sight,alternative,alternative,,N,P,N,N,-,-,-,-,N,N,,,,,,,,,,0,0,0,
girona,Garrotxa 화산지대,sight,alternative,alternative,,N,P,N,N,-,-,-,-,N,N,,,,,,,,,,0,0,0,
girona,Begur,sight,alternative,alternative,,N,N,N,N,-,-,-,-,N,N,,,,,,,,,,0,0,0,
girona,Mercat del Lleó,market,none,none,Day 6,,,,,,,,,,,Y,N,N,Y,P,-,Y,N,P,0,0,0,
girona,Mercat de la Devesa (거리시장),market,none,none,Day 4,,,,,,,,,,,P,Y,N,Y,-,-,N,N,Y,0,0,1,
girona,Anchois Roque (안초비 상점),market,none,none,Day 5,,,,,,,,,,,Y,Y,N,Y,P,-,Y,N,Y,0,0,1,
girona,Casa Marieta,restaurant,priority,priority,Day 4,,,,,,,,,,,Y,Y,N,N,N,N,Y,N,P,0,0,0,
girona,Fonda Cal Ros,restaurant,priority,priority,Day 4,,,,,,,,,,,P,N,N,N,N,N,N,N,N,0,0,0,
girona,Normal,restaurant,optional,optional,,,,,,,,,,,,P,N,N,N,N,N,N,N,N,0,0,0,
girona,Mimolet,restaurant,optional,optional,,,,,,,,,,,,P,P,N,N,N,N,N,N,N,0,0,0,
girona,La Cerveseria del Barri Vell,restaurant,alternative,alternative,,,,,,,,,,,,P,P,N,N,N,N,P,N,N,0,0,0,
girona,Kulmado,restaurant,alternative,alternative,,,,,,,,,,,,P,N,N,N,N,N,P,N,N,0,0,0,
girona,La Tasca,restaurant,alternative,alternative,Day 4,,,,,,,,,,,P,P,N,N,N,N,P,N,N,0,0,0,
girona,Le Jardin de Collioure,restaurant,none,none,Day 5,,,,,,,,,,,P,N,P,N,N,P,Y,Y,N,0,0,1,
girona,El Capillo,restaurant,alternative,alternative,Day 5,,,,,,,,,,,N,N,N,N,N,N,N,N,N,0,0,0,
girona,Le Can Pla,restaurant,alternative,alternative,Day 5,,,,,,,,,,,N,N,N,N,N,N,N,N,N,0,0,0,
girona,La Roca (Peratallada),restaurant,none,none,Day 6,,,,,,,,,,,N,N,N,N,N,P,P,N,N,0,0,1,
girona,El Pati (Peratallada),restaurant,none,none,Day 6,,,,,,,,,,,N,N,N,N,N,P,P,N,N,0,0,0,
girona,L'Eixida (Peratallada),restaurant,none,none,Day 6,,,,,,,,,,,N,N,N,N,N,P,P,N,N,0,0,0,
girona,Bar del Poble (Peratallada),restaurant,alternative,alternative,Day 6,,,,,,,,,,,P,N,N,N,N,N,N,N,N,0,0,0,
girona,La Vermuteria (Peratallada),restaurant,alternative,alternative,Day 6,,,,,,,,,,,P,N,N,N,N,N,N,N,N,0,0,0,
girona,El Tragamar (Calella),restaurant,none,none,Day 6,,,,,,,,,,,Y,Y,N,P,N,N,N,N,P,0,0,0,
girona,El Didal (Calella),restaurant,none,none,Day 6,,,,,,,,,,,Y,Y,N,P,N,N,N,N,P,0,0,0,
girona,Calau (Calella),restaurant,none,none,Day 6,,,,,,,,,,,Y,Y,N,P,N,N,P,N,P,0,0,0,
girona,Sa Jambina (Calella),restaurant,none,none,Day 6,,,,,,,,,,,Y,N,N,N,N,P,P,N,N,0,0,0,
girona,Bar Cacao,cafe,none,none,Day 4,,,,,,,,,,,N,N,N,N,N,-,P,N,N,0,0,0,
girona,Forn Plis Plas,cafe,none,none,Day 4,,,,,,,,,,,N,N,N,N,N,-,P,N,N,0,0,0,
girona,365 Obrador,cafe,none,none,Day 4,,,,,,,,,,,N,N,N,N,N,-,P,N,N,0,0,0,
nice,Promenade des Anglais,sight,essential,essential,7;8;11,Y,Y,P,P,-,-,-,-,Y,Y,,,,,,,,,,0,0,0,
nice,Cours Saleya,market,essential,essential,8,,,,,,,,,,,Y,P,N,P,P,-,Y,N,Y,0,0,0,
nice,Colline du Château,sight,essential,essential,8,Y,Y,P,P,N,-,P,-,Y,Y,,,,,,,,,,0,0,1,
nice,Vieux Nice,sight,essential,essential,8,Y,Y,P,N,-,-,-,-,Y,Y,,,,,,,,,,0,0,0,
nice,Marché Forville (Cannes),market,essential,essential,9,,,,,,,,,,,Y,P,P,P,N,-,P,N,Y,0,0,0,
nice,Le Suquet (Cannes),sight,essential,essential,9,Y,Y,P,P,-,-,-,-,Y,Y,,,,,,,,,,0,0,0,
nice,Le Rocher / Monaco-Ville,sight,essential,essential,10,Y,Y,P,P,-,-,-,-,Y,Y,,,,,,,,,,0,0,0,
nice,Marché de la Libération,market,priority,priority,11,,,,,,,,,,,Y,Y,Y,P,N,-,N,N,Y,0,0,0,
nice,Nice Old Town–Castle Hill Walk,walk,essential,essential,8,-,Y,Y,P,-,-,-,-,Y,Y,,,,,,,,,,0,0,0,
nice,Cannes Forville–Suquet–Croisette Walk,walk,essential,essential,9,-,Y,Y,Y,-,-,-,-,Y,Y,,,,,,,,,,0,0,0,
nice,Monaco Rocher–Port–Monte Carlo Walk,walk,essential,essential,10,-,Y,Y,Y,-,-,-,-,N,Y,,,,,,,,,,0,0,0,
nice,Port Hercule,sight,none,(무등급),10,N,P,P,P,-,-,-,-,P,P,,,,,,,,,,0,0,0,
nice,Casino Square / Monte Carlo,sight,none,(무등급),10,Y,P,P,P,-,-,-,-,P,P,,,,,,,,,,0,0,0,
nice,Cathédrale de Monaco,sight,none,(무등급),10,Y,P,P,P,N,N,N,-,P,P,,,,,,,,,,0,0,0,
nice,Palais des Festivals / La Croisette,sight,none,(무등급),9,Y,P,P,P,-,-,-,-,P,P,,,,,,,,,,0,0,0,
