asset_id,scope,classification,format,path,record_count,build_status,generated_output,notes
region-barcelona-html,region,region-map,html,source/ASSETS/75_Execution_Maps/Barcelona_Execution_Map_v0.2.html,8,active,site/maps/barcelona.html,Leaflet 지역 실행지도 원본
region-barcelona-geojson,region,region-map,geojson,source/ASSETS/75_Execution_Maps/Barcelona_Execution_Map_v0.2.geojson,8,active,site/maps/data/Barcelona_Execution_Map_v0.2.geojson,지역 기준점 중복 데이터
region-barcelona-kml,region,region-map,kml,source/ASSETS/75_Execution_Maps/Barcelona_Execution_Map_v0.2.kml,8,active,site/maps/data/Barcelona_Execution_Map_v0.2.kml + site/maps/kml/barcelona.kml,Organic Maps/My Maps 백업·배포
region-girona-html,region,region-map,html,source/ASSETS/75_Execution_Maps/Girona_Execution_Map_v0.2.html,11,active,site/maps/girona.html,Leaflet 지역 실행지도 원본
region-girona-geojson,region,region-map,geojson,source/ASSETS/75_Execution_Maps/Girona_Execution_Map_v0.2.geojson,11,active,site/maps/data/Girona_Execution_Map_v0.2.geojson,지역 기준점 중복 데이터
region-girona-kml,region,region-map,kml,source/ASSETS/75_Execution_Maps/Girona_Execution_Map_v0.2.kml,11,active,site/maps/data/Girona_Execution_Map_v0.2.kml + site/maps/kml/girona.kml,Organic Maps/My Maps 백업·배포
region-nice-html,region,region-map,html,source/ASSETS/75_Execution_Maps/Nice_Execution_Map_v0.2.html,8,active,site/maps/nice.html,Leaflet 지역 실행지도 원본
region-nice-geojson,region,region-map,geojson,source/ASSETS/75_Execution_Maps/Nice_Execution_Map_v0.2.geojson,8,active,site/maps/data/Nice_Execution_Map_v0.2.geojson,지역 기준점 중복 데이터
region-nice-kml,region,region-map,kml,source/ASSETS/75_Execution_Maps/Nice_Execution_Map_v0.2.kml,8,active,site/maps/data/Nice_Execution_Map_v0.2.kml + site/maps/kml/nice.kml,Organic Maps/My Maps 백업·배포
region-aix-html,region,region-map,html,source/ASSETS/75_Execution_Maps/Aix_Execution_Map_v0.2.html,7,active,site/maps/aix.html,Leaflet 지역 실행지도 원본
