site_page,page_type,region_map_links,embedded_daily_map_date,static_schematic,relationship,build_source
site/chapters/aix/index.html,regional-chapter-page,aix,,,links region map,build/build.py + source content
site/chapters/aix/places.html,regional-chapter-page,aix,,,links region map,build/build.py + source content
site/chapters/avignon/index.html,regional-chapter-page,avignon,,,links region map,build/build.py + source content
site/chapters/avignon/places.html,regional-chapter-page,avignon,,,links region map,build/build.py + source content
site/chapters/barcelona/index.html,regional-chapter-page,barcelona,,,links region map,build/build.py + source content
site/chapters/barcelona/places.html,regional-chapter-page,barcelona,,,links region map,build/build.py + source content
site/chapters/barcelona/schedule.html,regional-chapter-page,barcelona,,,links region map,build/build.py + source content
site/chapters/girona/index.html,regional-chapter-page,girona,,,links region map,build/build.py + source content
site/chapters/girona/places.html,regional-chapter-page,girona,,,links region map,build/build.py + source content
site/chapters/luberon/index.html,regional-chapter-page,luberon,,,links region map,build/build.py + source content
site/chapters/luberon/places.html,regional-chapter-page,luberon,,,links region map,build/build.py + source content
site/chapters/lyon/index.html,regional-chapter-page,lyon,,,links region map,build/build.py + source content
site/chapters/lyon/places.html,regional-chapter-page,lyon,,,links region map,build/build.py + source content
site/chapters/nice/index.html,regional-chapter-page,nice,,,links region map,build/build.py + source content
site/chapters/nice/places.html,regional-chapter-page,nice,,,links region map,build/build.py + source content
site/chapters/paris/index.html,regional-chapter-page,paris,,,links region map,build/build.py + source content
site/chapters/paris/places.html,regional-chapter-page,paris,,,links region map,build/build.py + source content
site/daily/day-01.html,daily-page,barcelona,2026-08-29,displayed,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-02.html,daily-page,barcelona,2026-08-30,displayed,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-03.html,daily-page,barcelona,2026-08-31,displayed,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-04.html,daily-page,barcelona|girona,,suppressed-stale,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-05.html,daily-page,girona,2026-09-02,suppressed-stale,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-06.html,daily-page,girona,2026-09-03,suppressed-stale,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-07.html,daily-page,girona|nice,,displayed,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-08.html,daily-page,nice,,displayed,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-09.html,daily-page,nice,,displayed,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-10.html,daily-page,nice,,displayed,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-11.html,daily-page,nice,,displayed,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-12.html,daily-page,nice|aix,,displayed,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-13.html,daily-page,aix,,displayed,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-14.html,daily-page,aix,,displayed,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-15.html,daily-page,aix,,displayed,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-16.html,daily-page,aix|luberon,,displayed,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-17.html,daily-page,luberon,,displayed,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-18.html,daily-page,luberon,,displayed,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-19.html,daily-page,luberon,,displayed,links region map; optional embedded daily map; static fallback,build/build.py + source content
site/daily/day-20.html,daily-page,luberon|avignon,,displayed,links region map; optional embedded daily map; static fallback,build/build.py + source content
